source,target,relation_type,weight,polarity,description
DS_용,OH_목,dream_ohaeng,0.8,길,용꿈은 목(木) 에너지와 연결. 용은 진(辰)토이나 상승하는 기운은 목의 성장 에너지. 목이 용신인 사람에게 특히 길몽.
DS_용,OH_수,dream_ohaeng,0.7,길,용은 수(水)와도 깊은 연관. 동양에서 용은 물의 신. 임수(壬水) 일간에게 용꿈은 대길.
DS_용,OH_토,dream_ohaeng,0.6,중립,용은 진(辰)토에 해당. 토 에너지와 연결되어 안정과 중재의 의미.
DS_뱀,OH_화,dream_ohaeng,0.9,길,뱀은 사(巳)화와 직접 연결. 화(火) 에너지의 상징. 뱀꿈은 화가 용신인 사람에게 재물운.
DS_뱀,OH_금,dream_ohaeng,0.6,중립,뱀이 허물을 벗는 것은 금(金)의 변혁 에너지. 변화와 재탄생.
DS_호랑이,OH_목,dream_ohaeng,0.9,길,호랑이는 인(寅)목과 직접 연결. 목(木) 에너지의 왕. 갑목(甲木) 일간에게 매우 길한 꿈.
DS_호랑이,OH_화,dream_ohaeng,0.5,중립,호랑이(인목)는 화를 생하는 기운. 열정과 추진력.
DS_토끼,OH_목,dream_ohaeng,0.9,길,토끼는 묘(卯)목과 직접 연결. 을목(乙木)의 정기. 온화한 목 에너지.
DS_토끼,OH_수,dream_ohaeng,0.6,길,토끼는 수생목의 영향. 지혜와 유연성.
DS_말,OH_화,dream_ohaeng,0.9,길,말은 오(午)화와 직접 연결. 정화(丁火)의 정기. 열정과 에너지.
DS_말,OH_금,dream_ohaeng,0.4,흉,말(화)은 금을 극함. 금이 용신인 사람에게 말꿈은 주의.
DS_양,OH_토,dream_ohaeng,0.8,길,양은 미(未)토와 직접 연결. 토 에너지의 안정과 포용.
DS_양,OH_화,dream_ohaeng,0.6,길,미토는 화의 고지(창고). 열정이 안정되는 의미.
DS_원숭이,OH_금,dream_ohaeng,0.9,길,원숭이는 신(申)금과 직접 연결. 경금(庚金)의 정기. 지혜와 민첩함.
DS_원숭이,OH_수,dream_ohaeng,0.6,길,신금은 수를 생함. 지혜의 흐름이 시작됨.
DS_닭,OH_금,dream_ohaeng,0.9,길,닭은 유(酉)금과 직접 연결. 신금(辛金)의 정기. 날카로움과 정밀함.
DS_닭,OH_화,dream_ohaeng,0.4,흉,닭(금)은 화에 의해 극당함. 화가 강한 사주에게 닭꿈은 주의.
DS_개,OH_토,dream_ohaeng,0.8,길,개는 술(戌)토와 직접 연결. 토 에너지의 충성과 수호.
DS_개,OH_화,dream_ohaeng,0.6,길,술토는 화의 고지. 열정이 저장되는 의미.
DS_돼지,OH_수,dream_ohaeng,0.9,길,돼지는 해(亥)수와 직접 연결. 수(水) 에너지의 왕지. 재물운의 근원.
DS_돼지,OH_목,dream_ohaeng,0.6,길,해수는 목을 생함. 지혜가 성장으로 이어지는 의미.
DS_쥐,OH_수,dream_ohaeng,0.9,길,쥐는 자(子)수와 직접 연결. 계수(癸水)의 정기. 지혜와 민첩함.
DS_쥐,OH_금,dream_ohaeng,0.6,길,자수는 금생수의 결과. 수확의 흐름.
DS_소,OH_토,dream_ohaeng,0.9,길,소는 축(丑)토와 직접 연결. 습토의 에너지. 근면과 저장.
DS_소,OH_금,dream_ohaeng,0.6,길,축토는 금의 고지. 재물이 저장되는 의미.
DS_물,OH_수,dream_ohaeng,1.0,길,물은 수(水) 에너지의 직접적 표현. 물의 상태가 수 오행의 상태를 반영.
DS_물,OH_목,dream_ohaeng,0.7,길,수생목. 물은 목을 기르는 에너지. 성장의 근원.
DS_물,OH_수,dream_ohaeng,0.6,흉,탁한 물은 수 에너지의 오염. 지혜와 감정의 혼란.
DS_물,OH_수,dream_ohaeng,1.0,길,맑은 물은 순수한 수 에너지. 지혜와 재물의 흐름.
DS_바다,OH_수,dream_ohaeng,1.0,길,바다는 거대한 수 에너지. 임수(壬水)의 상징. 큰 재물과 포용.
DS_바다,OH_목,dream_ohaeng,0.6,길,바다(수)는 목을 생함. 무한한 가능성의 성장.
DS_강,OH_수,dream_ohaeng,0.9,길,강은 흐르는 수 에너지. 재물과 기회의 흐름.
DS_nature_lake,OH_수,dream_ohaeng,0.8,길,호수는 고요한 수 에너지. 지혜의 축적과 명상.
DS_불,OH_화,dream_ohaeng,1.0,길,불은 화(火) 에너지의 직접적 표현. 불의 상태가 화 오행의 상태를 반영.
DS_불,OH_토,dream_ohaeng,0.7,길,화생토. 불은 토를 기르는 에너지. 안정의 근원.
DS_불,OH_화,dream_ohaeng,1.0,길,통제된 불은 순수한 화 에너지. 열정과 명예의 상승.
DS_불,OH_화,dream_ohaeng,0.7,흉,폭발하는 불은 과다한 화 에너지. 분노와 갈등의 표출.
DS_태양,OH_화,dream_ohaeng,1.0,길,태양은 병화(丙火)의 상징. 최고의 양기. 명예와 성공.
DS_달,OH_수,dream_ohaeng,0.8,길,달은 음의 빛. 계수(癸水)와 연결. 직관과 감성.
DS_달,OH_금,dream_ohaeng,0.6,길,달은 금생수의 매개. 청아한 금 에너지.
DS_별,OH_화,dream_ohaeng,0.7,길,별은 작은 화 에너지. 희망과 꿈의 상징.
DS_별,OH_금,dream_ohaeng,0.6,길,별은 금의 빛남. 재능과 명예.
DS_나무,OH_목,dream_ohaeng,1.0,길,나무는 목(木) 에너지의 직접적 표현. 나무의 상태가 목 오행의 상태를 반영.
DS_나무,OH_토,dream_ohaeng,0.5,흉,목극토. 나무가 너무 강하면 토를 극함. 불안정.
DS_나무,OH_목,dream_ohaeng,1.0,길,푸른 나무는 활력 있는 목 에너지. 성장과 발전.
DS_나무,OH_목,dream_ohaeng,0.4,흉,시든 나무는 쇠약한 목 에너지. 건강과 활력 주의.
DS_꽃,OH_목,dream_ohaeng,0.8,길,꽃은 목(木) 에너지의 개화. 목이 용신인 사람에게 꽃꿈은 재능 발현의 전조.
DS_꽃,OH_화,dream_ohaeng,0.6,길,꽃(목)은 화를 생함. 아름다움이 열정으로 승화.
DS_숲,OH_목,dream_ohaeng,1.0,길,숲은 강대한 목 에너지. 집단과 성장.
DS_산,OH_토,dream_ohaeng,1.0,길,산은 토(土) 에너지 자체. 무토(戊土) 일간에게 산꿈은 자아 확인.
DS_산,OH_금,dream_ohaeng,0.6,길,토생금. 산(토)은 금을 품음. 재물의 저장.
DS_땅,OH_토,dream_ohaeng,1.0,길,땅은 토 에너지의 기본. 안정과 기반.
DS_흙,OH_토,dream_ohaeng,0.9,길,흙은 토 에너지의 실체. 기토(己土)의 상징.
DS_돌,OH_토,dream_ohaeng,0.8,길,돌은 굳은 토 에너지. 단단함과 의지.
DS_돌,OH_금,dream_ohaeng,0.7,길,돌은 금의 원료. 가치의 잠재.
DS_금,OH_금,dream_ohaeng,1.0,길,금(金)은 금 에너지 자체. 재물과 결실.
DS_은,OH_금,dream_ohaeng,0.9,길,은은 신금(辛金)의 상징. 섬세한 재물.
DS_철,OH_금,dream_ohaeng,0.9,길,철은 경금(庚金)의 상징. 강건한 의지.
DS_칼,OH_금,dream_ohaeng,0.8,길,칼은 금 에너지의 날카로움. 결단력.
DS_칼,OH_화,dream_ohaeng,0.5,흉,칼(금)은 화에 의해 녹음. 의지가 꺾일 수 있음.
DS_돈,OH_금,dream_ohaeng,0.8,길,돈/재물은 금(金) 에너지와 연결. 금이 재성인 사주에게 돈꿈은 직접적 재물 길몽.
DS_돈,OH_토,dream_ohaeng,0.6,길,토생금. 돈(금)은 토에서 나옴. 노력의 결실.
DS_눈_날씨,OH_수,dream_ohaeng,0.7,길,눈은 수(水)의 고체 형태. 정화와 축적의 수 에너지. 계수(癸水)와 특히 연결.
DS_눈_날씨,OH_금,dream_ohaeng,0.5,길,눈은 금생수의 결과. 청아함.
DS_비,OH_수,dream_ohaeng,0.8,길,비는 수(水)의 하강 에너지. 하늘에서 내리는 은혜의 물. 감정의 정화.
DS_비,OH_목,dream_ohaeng,0.6,길,비(수)는 목을 기름. 성장의 자양분.
DS_바람,OH_목,dream_ohaeng,0.8,길,바람은 목의 움직임. 변화와 이동의 에너지.
DS_바람,OH_금,dream_ohaeng,0.5,중립,바람은 금의 시원함. 가을바람.
DS_천둥,OH_화,dream_ohaeng,0.8,길,천둥은 화의 폭발. 강렬한 에너지의 분출.
DS_천둥,OH_목,dream_ohaeng,0.6,길,천둥(진뢰)은 목의 각성. 눈을 뜨는 에너지.
DS_번개,OH_화,dream_ohaeng,0.9,길,번개는 화의 섬광. 계시와 깨달음.
DS_구름,OH_수,dream_ohaeng,0.6,중립,구름은 수의 증발. 유동적이고 변화무쌍.
DS_무지개,OH_화,dream_ohaeng,0.8,길,무지개는 화의 분광. 희망과 약속.
DS_무지개,OH_수,dream_ohaeng,0.7,길,무지개는 수와 화의 조화. 음양의 균형.
DS_집,OH_토,dream_ohaeng,0.9,길,집은 토의 안정. 가정과 근거지.
DS_집_새,OH_토,dream_ohaeng,1.0,길,새 집은 새로운 안정. 이사/결혼의 전조.
DS_집_낡은,OH_토,dream_ohaeng,0.5,흉,낡은 집은 쇠약한 토. 기반의 불안정.
DS_문,OH_목,dream_ohaeng,0.7,중립,문은 목의 통로. 기회의 개폐.
DS_문_열림,OH_목,dream_ohaeng,0.9,길,열린 문은 기회의 도래. 목 에너지의 확장.
DS_문_닫힘,OH_목,dream_ohaeng,0.4,흉,닫힌 문은 기회의 차단. 목 에너지의 억압.
DS_stairs,OH_토,dream_ohaeng,0.7,중립,계단은 토의 단계. 상승과 하강.
DS_stairs,OH_토,dream_ohaeng,0.9,길,오르는 계단은 상승의 토. 발전과 성취.
DS_stairs,OH_토,dream_ohaeng,0.5,중립,내리는 계단은 하강의 토. 겸손 또는 쇠퇴.
DS_다리,OH_토,dream_ohaeng,0.8,길,다리는 토의 연결. 관계와 기회의 가교.
DS_길,OH_토,dream_ohaeng,0.7,중립,길은 토의 방향. 인생 행로.
DS_길_넓은,OH_토,dream_ohaeng,0.9,길,넓은 길은 탄탄한 토. 순탄한 미래.
DS_길_좁은,OH_토,dream_ohaeng,0.5,중립,좁은 길은 제한된 토. 선택의 한정.
DS_차,OH_금,dream_ohaeng,0.7,중립,차는 금의 이동수단. 사회적 지위.
DS_차,OH_금,dream_ohaeng,0.9,길,새 차는 새로운 금. 지위 상승.
DS_차,OH_금,dream_ohaeng,0.4,흉,고장난 차는 손상된 금. 지위 위협.
DS_비행기,OH_화,dream_ohaeng,0.8,길,비행기는 화의 비상. 큰 도약.
DS_비행기,OH_금,dream_ohaeng,0.7,길,비행기는 금의 기체. 빠른 성취.
DS_배_탈것,OH_수,dream_ohaeng,0.8,길,배는 수 위의 이동. 재물과 기회의 운송.
DS_배_침몰,OH_수,dream_ohaeng,0.3,흉,침몰하는 배는 수에 잠김. 재물 손실 주의.
DS_기차,OH_화,dream_ohaeng,0.7,길,기차는 화의 추진. 정해진 방향으로 전진.
DS_기차,OH_금,dream_ohaeng,0.7,길,기차는 금의 기체. 규칙적인 발전.
DS_아버지,TG_편재,dream_sipsin,0.9,길,아버지 꿈은 편재(남자)/편관(여자)과 연결. 아버지 운세의 반영.
DS_아버지,TG_편관,dream_sipsin,0.8,길,여자 사주에서 아버지는 편관. 권위와 보호의 에너지.
DS_어머니,TG_정인,dream_sipsin,0.9,길,어머니 꿈은 정인과 연결. 어머니 운세 또는 학문/보호의 에너지.
DS_어머니,TG_편인,dream_sipsin,0.7,중립,어머니 꿈은 편인과도 연결. 비정형적 양육/가르침.
DS_배우자,TG_정재,dream_sipsin,0.9,길,남자의 배우자 꿈은 정재와 연결. 아내 운세 또는 재물.
DS_배우자,TG_정관,dream_sipsin,0.9,길,여자의 배우자 꿈은 정관과 연결. 남편 운세 또는 직장.
DS_자녀,TG_식신,dream_sipsin,0.9,길,자녀 꿈은 식신/상관과 연결. 자녀 운세 또는 창작/표현.
DS_자녀,TG_상관,dream_sipsin,0.8,중립,자녀 꿈은 상관과도 연결. 재능 있으나 반항적인 자녀.
DS_형제,TG_비견,dream_sipsin,0.9,중립,형제 꿈은 비견과 연결. 경쟁과 협력.
DS_형제,TG_겁재,dream_sipsin,0.7,흉,형제 꿈은 겁재와도 연결. 재물 다툼 주의.
DS_친구,TG_비견,dream_sipsin,0.8,중립,친구 꿈은 비견과 연결. 동료와 경쟁.
DS_상사,TG_편관,dream_sipsin,0.8,중립,상사 꿈은 편관과 연결. 압박과 통제.
DS_상사,TG_정관,dream_sipsin,0.9,길,상사 꿈은 정관과도 연결. 정당한 권위.
DS_부하,TG_식신,dream_sipsin,0.7,길,부하 꿈은 식신과 연결. 도움과 지원.
DS_스승,TG_정인,dream_sipsin,0.9,길,스승 꿈은 정인과 연결. 가르침과 보호.
DS_스승,TG_편인,dream_sipsin,0.8,중립,스승 꿈은 편인과도 연결. 비정형적 지혜.
DS_연인,TG_정재,dream_sipsin,0.8,길,남자의 연인 꿈은 정재와 연결. 사랑과 재물.
DS_연인,TG_정관,dream_sipsin,0.8,길,여자의 연인 꿈은 정관과 연결. 사랑과 명예.
DS_이성_낯선,TG_편재,dream_sipsin,0.7,중립,낯선 이성 꿈은 편재(남)/편관(여). 새로운 인연.
DS_경찰,TG_편관,dream_sipsin,0.8,중립,경찰 꿈은 편관과 연결. 강압적 권위.
DS_의사,TG_정인,dream_sipsin,0.7,길,의사 꿈은 정인과 연결. 치유와 보호.
DS_노인,TG_정인,dream_sipsin,0.8,길,노인 꿈은 정인/편인과 연결. 지혜와 조언.
DS_아기,TG_식신,dream_sipsin,0.9,길,아기 꿈은 식신과 연결. 새 시작과 창조.
DS_용,TS_임관,dream_stage,0.9,길,용꿈과 임관(최고 성취 단계)의 연결. 용꿈은 대운/세운이 임관일 때 그 효과가 극대화.
DS_용,TS_제왕,dream_stage,0.9,길,용꿈과 제왕(정점 단계)의 연결. 최고의 성취.
DS_죽음,TS_절,dream_stage,0.8,중립,죽음꿈과 절(끊어짐 단계)의 연결. 끝과 새 시작을 함께 예고.
DS_죽음,TS_묘,dream_stage,0.7,중립,죽음꿈과 묘(무덤 단계)의 연결. 저장과 휴식.
DS_아기,TS_장생,dream_stage,0.9,길,아기꿈과 장생(시작 단계)의 연결. 새로운 시작과 가능성의 공명.
DS_아기,TS_양,dream_stage,0.8,길,아기꿈과 양(잉태 단계)의 연결. 새로운 가능성.
DS_비행,TS_제왕,dream_stage,0.8,길,비행꿈과 제왕(정점 단계)의 연결. 자유와 정점의 에너지 공명.
DS_비행,TS_건록,dream_stage,0.7,길,비행꿈과 건록(자립 단계)의 연결. 독립과 비상.
DS_결혼,TS_관대,dream_stage,0.8,길,결혼꿈과 관대(성인 단계)의 연결. 사회적 성숙.
DS_임신,TS_장생,dream_stage,0.9,길,임신꿈과 장생(탄생 단계)의 연결. 새 생명의 시작.
DS_임신,TS_양,dream_stage,0.9,길,임신꿈과 양(잉태 단계)의 연결. 가능성의 품음.
DS_졸업,TS_관대,dream_stage,0.8,길,졸업꿈과 관대(성인 단계)의 연결. 한 단계 완성.
DS_낙상,TS_쇠,dream_stage,0.6,흉,낙상꿈과 쇠(쇠퇴 단계)의 연결. 기운의 하락.
DS_낙상,TS_병,dream_stage,0.5,흉,낙상꿈과 병(병들음 단계)의 연결. 건강 주의.
DS_추락,TS_사,dream_stage,0.5,흉,추락꿈과 사(죽음 단계)의 연결. 큰 하락 주의.
DS_승진,TS_임관,dream_stage,0.9,길,승진꿈과 임관(벼슬 단계)의 연결. 사회적 성취.
DS_용,SS_천을귀인,dream_shinsal,0.9,길,용꿈과 천을귀인 신살의 연결. 귀인의 도움이 올 조짐.
DS_용,SS_월덕귀인,dream_shinsal,0.8,길,용꿈과 월덕귀인의 연결. 자비로운 도움.
DS_호랑이,SS_역마살,dream_shinsal,0.8,길,호랑이꿈과 역마살의 연결. 큰 이동이나 변화의 전조.
DS_호랑이,SS_장성살,dream_shinsal,0.7,길,호랑이꿈과 장성살의 연결. 성장과 발전.
DS_뱀,SS_도화살,dream_shinsal,0.7,중립,뱀꿈과 도화살의 연결. 이성 관련 변화의 전조.
DS_뱀,SS_홍염살,dream_shinsal,0.6,중립,뱀꿈과 홍염살의 연결. 이성 매력 상승.
DS_돈,SS_천재성,dream_shinsal,0.8,길,돈꿈과 천재성의 연결. 하늘이 주는 재물.
DS_돈,SS_지재성,dream_shinsal,0.8,길,돈꿈과 지재성의 연결. 땅에서 얻는 재물.
DS_칼,SS_양인살,dream_shinsal,0.7,흉,"칼꿈과 양인살의 연결. 강렬한 에너지, 주의 필요."
DS_칼,SS_백호살,dream_shinsal,0.6,흉,칼꿈과 백호살의 연결. 사고/수술 주의.
DS_물고기,SS_천을귀인,dream_shinsal,0.7,길,물고기꿈과 천을귀인의 연결. 재물 귀인.
DS_새,SS_역마살,dream_shinsal,0.7,길,새꿈과 역마살의 연결. 이동과 비상.
DS_비행기,SS_역마살,dream_shinsal,0.8,길,비행기꿈과 역마살의 연결. 해외 이동.
DS_기차,SS_역마살,dream_shinsal,0.7,길,기차꿈과 역마살의 연결. 육로 이동.
DS_배_탈것,SS_역마살,dream_shinsal,0.7,길,배꿈과 역마살의 연결. 해로 이동.
DS_경찰,SS_겁살,dream_shinsal,0.6,흉,경찰꿈과 겁살의 연결. 법적 문제 주의.
DS_결혼,SS_천희성,dream_shinsal,0.8,길,결혼꿈과 천희성의 연결. 경사스러운 일.
DS_임신,SS_천희성,dream_shinsal,0.9,길,임신꿈과 천희성의 연결. 큰 경사.
DS_시험,SS_문창귀인,dream_shinsal,0.8,길,시험꿈과 문창귀인의 연결. 학업 성취.
DS_시험,SS_학당귀인,dream_shinsal,0.8,길,시험꿈과 학당귀인의 연결. 배움의 성과.
DS_불,SS_화개살,dream_shinsal,0.6,중립,불꿈과 화개살의 연결. 영적 각성.
DS_building_church,SS_화개살,dream_shinsal,0.9,길,사찰꿈과 화개살의 연결. 종교적 깨달음.
DS_교회,SS_화개살,dream_shinsal,0.8,길,교회꿈과 화개살의 연결. 영적 성장.
DS_죽음,SS_상문살,dream_shinsal,0.6,흉,죽음꿈과 상문살의 연결. 이별 또는 변화.
DS_죽음,SS_조객살,dream_shinsal,0.5,중립,죽음꿈과 조객살의 연결. 손님 또는 소식.
DS_전쟁,SS_겁살,dream_shinsal,0.7,흉,전쟁꿈과 겁살의 연결. 갈등 주의.
DS_도망,SS_망신살,dream_shinsal,0.6,흉,도망꿈과 망신살의 연결. 체면 손상 주의.
DS_나체,SS_망신살,dream_shinsal,0.7,흉,나체꿈과 망신살의 연결. 비밀 노출 주의.
DS_물고기,GJ_해,dream_ganji,0.8,길,물고기꿈과 해(亥)의 연결. 해년/해월/해일/해시 관련.
DS_물고기,GJ_자,dream_ganji,0.7,길,물고기꿈과 자(子)의 연결. 자년/자월/자일/자시 관련.
DS_용,GJ_진,dream_ganji,0.9,길,용꿈과 진(辰)의 연결. 진년/진월/진일/진시 관련.
DS_뱀,GJ_사,dream_ganji,0.9,길,뱀꿈과 사(巳)의 연결. 사년/사월/사일/사시 관련.
DS_호랑이,GJ_인,dream_ganji,0.9,길,호랑이꿈과 인(寅)의 연결. 인년/인월/인일/인시 관련.
DS_토끼,GJ_묘,dream_ganji,0.9,길,토끼꿈과 묘(卯)의 연결. 묘년/묘월/묘일/묘시 관련.
DS_말,GJ_오,dream_ganji,0.9,길,말꿈과 오(午)의 연결. 오년/오월/오일/오시 관련.
DS_양,GJ_미,dream_ganji,0.9,길,양꿈과 미(未)의 연결. 미년/미월/미일/미시 관련.
DS_원숭이,GJ_신,dream_ganji,0.9,길,원숭이꿈과 신(申)의 연결. 신년/신월/신일/신시 관련.
DS_닭,GJ_유,dream_ganji,0.9,길,닭꿈과 유(酉)의 연결. 유년/유월/유일/유시 관련.
DS_개,GJ_술,dream_ganji,0.9,길,개꿈과 술(戌)의 연결. 술년/술월/술일/술시 관련.
DS_돼지,GJ_해,dream_ganji,0.9,길,돼지꿈과 해(亥)의 연결. 해년/해월/해일/해시 관련.
DS_쥐,GJ_자,dream_ganji,0.9,길,쥐꿈과 자(子)의 연결. 자년/자월/자일/자시 관련.
DS_소,GJ_축,dream_ganji,0.9,길,소꿈과 축(丑)의 연결. 축년/축월/축일/축시 관련.
DS_해돋이,GJ_인,dream_ganji,0.7,길,해돋이꿈과 인(寅)의 연결. 인시(새벽 3-5시).
DS_한낮,GJ_오,dream_ganji,0.7,길,한낮꿈과 오(午)의 연결. 오시(낮 11-13시).
DS_해질녘,GJ_유,dream_ganji,0.7,중립,해질녘꿈과 유(酉)의 연결. 유시(저녁 17-19시).
DS_한밤,GJ_자,dream_ganji,0.7,중립,한밤꿈과 자(子)의 연결. 자시(밤 23-01시).
DS_봄,GJ_인,dream_ganji,0.8,길,봄꿈과 인(寅)의 연결. 봄의 시작.
DS_봄,GJ_묘,dream_ganji,0.8,길,봄꿈과 묘(卯)의 연결. 봄의 중심.
DS_여름,GJ_사,dream_ganji,0.8,길,여름꿈과 사(巳)의 연결. 여름의 시작.
DS_여름,GJ_오,dream_ganji,0.8,길,여름꿈과 오(午)의 연결. 여름의 중심.
DS_가을,GJ_신,dream_ganji,0.8,길,가을꿈과 신(申)의 연결. 가을의 시작.
DS_가을,GJ_유,dream_ganji,0.8,길,가을꿈과 유(酉)의 연결. 가을의 중심.
DS_겨울,GJ_해,dream_ganji,0.8,중립,겨울꿈과 해(亥)의 연결. 겨울의 시작.
DS_겨울,GJ_자,dream_ganji,0.8,중립,겨울꿈과 자(子)의 연결. 겨울의 중심.
DS_용,GK_식신격,dream_geokguk,0.7,길,용꿈과 식신격의 연결. 식복과 창조력 발현.
DS_용,GK_정관격,dream_geokguk,0.8,길,용꿈과 정관격의 연결. 명예와 지위 상승.
DS_호랑이,GK_편관격,dream_geokguk,0.8,길,호랑이꿈과 편관격의 연결. 권력과 카리스마.
DS_물,GK_정인격,dream_geokguk,0.7,길,물꿈과 정인격의 연결. 학문과 지혜의 흐름.
DS_불,GK_상관격,dream_geokguk,0.7,중립,불꿈과 상관격의 연결. 재능의 폭발적 표현.
DS_돈,GK_정재격,dream_geokguk,0.9,길,돈꿈과 정재격의 연결. 안정적 재물 증가.
DS_돈,GK_편재격,dream_geokguk,0.8,길,돈꿈과 편재격의 연결. 유동적 재물 증가.
DS_산,GK_건록격,dream_geokguk,0.7,길,산꿈과 건록격의 연결. 자수성가의 확인.
DS_칼,GK_양인격,dream_geokguk,0.8,중립,칼꿈과 양인격의 연결. 강한 에너지의 발현.
DS_죽음,GK_종격_종약,dream_geokguk,0.6,중립,죽음꿈과 종약격의 연결. 환경에 따르는 변화.
