id,source,target,relation,layer,category,title_ko,description,insight_template,emoji,hook_text
ML_L3_019,SAJU_PATTERN_종격,ASTRO_PATTERN_Stellium,특수패턴,3,pattern,종격↔스텔리움,에너지의집중,"🎯 [3차 심층 해석] 종격(從格)이 스텔리움(Stellium)과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n한 오행으로 치우친 종격과 한 별자리에 3개 이상 행성이 모인 스텔리움은 같은 원리입니다. 에너지가 한 곳에 집중됩니다.\n\n이 집중을 거스르면 실패하고, 따르면 성공합니다. 종격 사주는 거스르지 말라는 교훈이 있듯, 스텔리움도 그 에너지를 최대한 활용해야 합니다.\n\n⚡ 분산하지 말고 집중하세요. 한 우물을 깊이 파세요.",🎯,집중이 힘입니다
ML_L3_020,SAJU_KARMA_도화,ASTRO_NODE_Venus,카르마인연,3,karma,도화↔금성노드,사랑의카르마,"💘 [3차 심층 해석] 도화살(桃花煞)이 금성의 노드 연결과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n도화살은 전생에서 이어진 인연의 끈입니다. 금성이 노드와 연결되면 사랑에 카르마적 패턴이 있습니다.\n\n매번 비슷한 사람에게 끌리고, 비슷한 패턴으로 관계가 진행됩니다. 이것은 '배워야 할 것'이 있기 때문입니다.\n\n💔 패턴을 인식하면 반복에서 벗어날 수 있습니다.",💘,패턴을 깨세요
ML_L3_021,SAJU_SHADOW_편인도식,ASTRO_SHADOW_12thHouse,그림자,3,shadow,편인도식↔12하우스,숨겨진자기파괴,"🌑 [3차 심층 해석] 편인도식(偏印倒食)이 12하우스의 그림자 에너지와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n편인이 식신을 극하면 창조력과 생산성이 막힙니다. 12하우스에 흉성이 있으면 숨겨진 자기 파괴 패턴이 있습니다.\n\n자신도 모르게 성공을 방해하는 무의식적 행동을 합니다. '왜 나는 매번 이럴까?'라는 질문이 자주 떠오르면 이 패턴입니다.\n\n🔦 무의식을 의식화하면 패턴이 멈춥니다.",🌑,자신을 관찰하세요
ML_L3_022,SAJU_GIFT_식신생재,ASTRO_GIFT_JupiterVenus,재능축복,3,gift,식신생재↔목금합,타고난풍요,"🌈 [3차 심층 해석] 식신생재(食神生財)가 목성-금성 합/트라인과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n식신이 재성을 생하면 재능이 돈이 됩니다. 목성-금성 조화 각은 풍요와 행운의 배치입니다.\n\n두 배치가 함께 있으면 타고난 풍요 체질입니다. 좋아하는 것을 하면 돈이 따라옵니다.\n\n🍀 억지로 돈을 쫓지 마세요. 재능을 따라가면 돈이 옵니다.",🌈,재능이곧재물입니다
ML_L3_023,SAJU_CRISIS_관살혼잡,ASTRO_CRISIS_SaturnPluto,위기변환,3,crisis,관살혼잡↔토명합,권력의시련,"⚡ [3차 심층 해석] 관살혼잡(官殺混雜)이 토성-명왕성 합과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n정관과 편관이 섞이면 권위와 통제가 혼란스럽습니다. 토성-명왕성 합은 권력 구조의 붕괴와 재편입니다.\n\n직장, 조직, 사회에서 심한 압박과 변화를 경험합니다. 기존의 권력 구조가 무너지고 새로운 질서가 세워집니다.\n\n🔄 저항하면 부서지고, 변환하면 더 강해집니다.",⚡,변환을선택하세요
ML_L3_024,SAJU_HEALING_인성보호,ASTRO_HEALING_MoonNeptune,치유돌봄,3,healing,인성↔달해왕,어머니의치유,"🌊 [3차 심층 해석] 인성(印星)의 보호가 달-해왕성 연결과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n인성은 어머니의 보호이자 내면의 안전지대입니다. 달-해왕성 연결은 무조건적 사랑과 영적 돌봄입니다.\n\n이 에너지가 강하면 치유 능력이 있습니다. 상담, 심리치료, 영적 돌봄 분야에서 타인을 치유할 수 있습니다.\n\n💙 먼저 자신을 치유하면 타인도 치유할 수 있습니다.",🌊,치유자가되세요
ML_L3_025,SAJU_POWER_양인칠살,ASTRO_POWER_MarsPluto,극강의힘,3,power,양인칠살↔화명합,폭발적추진력,"💪 [3차 심층 해석] 양인칠살(羊刃七殺)이 화성-명왕성 합과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n양인과 칠살이 만나면 극강의 추진력이 생깁니다. 화성-명왕성 합은 핵폭발 같은 에너지입니다.\n\n이 에너지를 제어하면 불가능을 가능으로 만듭니다. 제어하지 못하면 파괴적으로 작용합니다.\n\n🎯 큰 목표에 이 에너지를 쏟으세요. 작은 일에 쓰면 위험합니다.",💪,큰목표를세우세요
ML_L3_026,SAJU_SPIRIT_화개살,ASTRO_SPIRIT_NeptuneNodes,영적사명,3,spirit,화개↔해왕노드,영혼의목적,"🔮 [3차 심층 해석] 화개살(華蓋煞)이 해왕성-노드 연결과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n화개살은 세속과 분리된 영적 탐구를 나타냅니다. 해왕성-노드 연결은 영혼의 목적이 영적 영역에 있음을 나타냅니다.\n\n종교, 철학, 예술, 명상... 세속적 성공보다 내면의 평화가 중요합니다. 이것을 인정해야 진정한 행복을 찾습니다.\n\n🙏 영적 추구를 부끄러워하지 마세요. 그것이 당신의 길입니다.",🔮,영혼의길을가세요
ML_L3_027,SAJU_DESTINY_천을귀인,ASTRO_DESTINY_Jupiter11th,운명적도움,3,destiny,천을귀인↔목성11하우스,귀인의축복,"👼 [3차 심층 해석] 천을귀인(天乙貴人)이 목성 11하우스와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n천을귀인은 위기 때 나타나는 구원자입니다. 목성이 11하우스(친구/희망)에 있으면 사회적 도움이 풍부합니다.\n\n두 배치가 함께 있으면 인복(人福)이 극대화됩니다. 위기 때마다 도와주는 사람이 나타납니다.\n\n🤝 귀인에게 감사하고, 당신도 누군가의 귀인이 되세요.",👼,베풀면돌아옵니다
ML_L3_028,SAJU_BLOCK_공망충,ASTRO_BLOCK_Saturn12th,인생의벽,3,block,공망충↔토성12하우스,넘어야할벽,"🧱 [3차 심층 해석] 공망(空亡)이 충(沖)을 만나고 토성이 12하우스에 있습니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n공망이 충을 받으면 비어있던 것이 흔들립니다. 토성 12하우스는 숨겨진 두려움과 제한입니다.\n\n인생에 보이지 않는 벽이 있습니다. 노력해도 막히는 느낌, 이유 없이 두려운 영역이 있습니다.\n\n🔓 그 벽의 정체를 인식하면 통과할 수 있습니다.",🧱,벽을인식하세요
ML_L3_029,SAJU_REBIRTH_대운교체,ASTRO_REBIRTH_PlutoTransit,완전한변환,3,rebirth,대운교체↔명왕트랜짓,죽음과재탄생,"🦋 [3차 심층 해석] 대운 교체기에 명왕성 트랜짓이 겹칩니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n10년 대운이 바뀌면서 명왕성이 중요한 행성을 지나갑니다. 이것은 완전한 죽음과 재탄생입니다.\n\n옛 자아가 죽고 새 자아가 태어납니다. 직업, 관계, 정체성 모든 것이 변할 수 있습니다. 고통스럽지만 필요한 과정입니다.\n\n🌅 나비가 되려면 애벌레는 죽어야 합니다.",🦋,변환을환영하세요
ML_L3_030,SAJU_MASTERY_건록격,ASTRO_MASTERY_SunConjMC,최고의성취,3,mastery,건록격↔태양MC합,인생의정점,"👑 [3차 심층 해석] 건록격(建祿格)이 태양-MC 합과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n건록격은 자수성가의 대표 격국입니다. 태양-MC 합은 사회적 성공이 정체성의 핵심입니다.\n\n두 배치가 함께 있으면 자기 힘으로 정상에 오르는 사람입니다. 누구의 도움 없이도 빛납니다.\n\n🏆 당신의 성공은 당신이 만듭니다. 그것이 가장 큰 자부심입니다.",👑,정상에서세요
ML_L3_031,SAJU_CREATIVITY_상관생재,ASTRO_CREATIVITY_Mercury5th,창조적부,3,creativity,상관생재↔수성5하우스,재능이돈이된다,"🎨 [3차 심층 해석] 상관생재(傷官生財)가 수성 5하우스와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n상관은 규칙을 깨는 창의성, 재성을 생하면 그 창의성이 돈이 됩니다. 수성 5하우스는 지적 창조력이 자기표현의 핵심입니다.\n\n글쓰기, 디자인, 프로그래밍, 음악 등 창조적 작업으로 수입을 올릴 수 있습니다.\n\n💡 기존의 틀을 깨는 아이디어가 당신의 자산입니다.",🎨,창조가돈입니다
ML_L3_032,SAJU_RELATIONSHIP_일지합,ASTRO_RELATIONSHIP_Venus7th,완벽한짝,3,relationship,일지합↔금성7하우스,운명적만남,"💕 [3차 심층 해석] 일지(日支)의 합이 금성 7하우스와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n일지가 좋은 합을 이루면 배우자와의 인연이 좋습니다. 금성이 7하우스에 있으면 파트너십에서 조화와 아름다움을 경험합니다.\n\n두 배치가 함께 있으면 결혼운이 매우 좋습니다.\n\n💍 좋은 인연을 만날 준비가 되어있습니다. 마음을 열어두세요.",💕,인연이옵니다
ML_L3_033,SAJU_WISDOM_정인투출,ASTRO_WISDOM_Jupiter9th,진리탐구자,3,wisdom,정인투출↔목성9하우스,지혜의길,"📚 [3차 심층 해석] 정인투출(正印透出)이 목성 9하우스와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n정인이 천간에 투출되면 학문과 지혜가 드러납니다. 목성이 9하우스에 있으면 철학, 종교, 고등교육에 축복받았습니다.\n\n두 배치가 함께 있으면 진정한 지식인, 사상가의 잠재력이 있습니다.\n\n🎓 배움을 멈추지 마세요. 당신의 지혜는 세상을 밝힙니다.",📚,지혜를나누세요
ML_L3_034,SAJU_INTUITION_편인왕,ASTRO_INTUITION_Neptune12th,심령적감각,3,intuition,편인왕↔해왕성12하우스,보이지않는것을봄,"👁️ [3차 심층 해석] 편인(偏印)이 왕성하고 해왕성이 12하우스에 있습니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n편인은 비범한 직관력입니다. 해왕성 12하우스는 무의식과 영적 세계에 대한 직접적 접근입니다.\n\n남들이 보지 못하는 것을 봅니다. 꿈, 직감, 예감이 자주 맞습니다.\n\n🔮 당신의 직관은 진짜입니다. 논리보다 느낌을 믿으세요.",👁️,직관을신뢰하세요
ML_L3_035,SAJU_LEADERSHIP_정관격,ASTRO_LEADERSHIP_Sun10th,천생지도자,3,leadership,정관격↔태양10하우스,타고난리더,"👔 [3차 심층 해석] 정관격(正官格)이 태양 10하우스와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n정관격은 품위와 책임감의 상징입니다. 태양이 10하우스에 있으면 사회적 성취가 자아의 핵심입니다.\n\n두 배치가 함께 있으면 조직의 리더가 될 운명입니다.\n\n🏛️ 높은 자리에는 높은 책임이 따릅니다. 준비되셨습니다.",👔,리더가되세요
ML_L3_036,SAJU_HEALING_식신제살,ASTRO_HEALING_ChironAsc,상처입은치유자,3,healing,식신제살↔키론상승점,고통을치유로,"💊 [3차 심층 해석] 식신제살(食神制煞)이 키론-상승점 합과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n식신이 편관(칠살)을 제어하면 공격성이 창조성으로 전환됩니다. 키론이 상승점에 있으면 상처가 정체성의 일부입니다.\n\n자신의 상처를 통해 타인을 치유하는 능력이 있습니다.\n\n🩹 당신의 상처가 타인을 치유하는 약이 됩니다.",💊,상처가치유입니다
ML_L3_037,SAJU_TRANSFORMATION_충다,ASTRO_TRANSFORMATION_Pluto1st,끊임없는변화,3,transformation,충다수↔명왕성1하우스,피닉스,"🔥 [3차 심층 해석] 사주에 충(沖)이 많고 명왕성이 1하우스에 있습니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n충이 많으면 삶에 변화와 갈등이 잦습니다. 명왕성 1하우스는 정체성 자체가 끊임없이 죽고 재탄생합니다.\n\n여러 번 완전히 다른 사람으로 다시 태어납니다.\n\n🦅 불사조처럼 재에서 일어나세요. 변화가 당신의 힘입니다.",🔥,불사조가되세요
ML_L3_038,SAJU_WEALTH_재성다,ASTRO_WEALTH_Jupiter2nd,재물복,3,wealth,재성다수↔목성2하우스,풍요로운삶,"💰 [3차 심층 해석] 사주에 재성이 많고 목성이 2하우스에 있습니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n재성이 많으면 재물을 다루는 능력이 있습니다. 목성 2하우스는 물질적 축복과 풍요입니다.\n\n두 배치가 함께 있으면 재물복이 타고났습니다.\n\n💵 풍요를 즐기되 집착하지 마세요. 나누면 더 늘어납니다.",💰,풍요를나누세요
ML_L3_039,SAJU_COMMUNICATION_상관다,ASTRO_COMMUNICATION_Mercury3rd,말의달인,3,communication,상관다수↔수성3하우스,소통의천재,"🗣️ [3차 심층 해석] 사주에 상관이 많고 수성이 3하우스에 있습니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n상관이 많으면 표현력이 뛰어나고 말에 재능이 있습니다. 수성 3하우스는 소통과 학습의 최적 위치입니다.\n\n작가, 연설가, 강사, 마케터로서의 재능이 탁월합니다.\n\n✍️ 당신의 말에는 힘이 있습니다. 잘 사용하세요.",🗣️,말이힘입니다
ML_L3_040,SAJU_INDEPENDENCE_비겁왕,ASTRO_INDEPENDENCE_UranusAsc,자유로운영혼,3,independence,비겁왕↔천왕성상승,독립적존재,"🦋 [3차 심층 해석] 비겁(比劫)이 왕성하고 천왕성이 상승점에 있습니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n비겁이 강하면 자기 주장과 독립심이 강합니다. 천왕성 상승점은 독특함과 자유가 정체성의 핵심입니다.\n\n남들과 같은 길을 걷지 않습니다.\n\n🌬️ 자유롭게 사세요. 그것이 당신답게 사는 것입니다.",🦋,자유롭게사세요
ML_L3_041,SAJU_DEPTH_편관다,ASTRO_DEPTH_Pluto8th,깊이의탐구자,3,depth,편관다수↔명왕성8하우스,심연을탐험,"🕳️ [3차 심층 해석] 사주에 편관이 많고 명왕성이 8하우스에 있습니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n편관이 많으면 강렬함과 통제욕이 있습니다. 명왕성 8하우스는 죽음, 재생, 금기의 영역에 대한 집착입니다.\n\n표면 아래의 진실을 파헤칩니다. 심리학, 범죄학, 탐정, 연구 분야에서 빛납니다.\n\n🔍 깊이 파고드세요. 진실은 표면에 없습니다.",🕳️,진실을찾으세요
ML_L3_042,SAJU_SERVICE_인성생비겁,ASTRO_SERVICE_6thHouseFull,봉사의삶,3,service,인성생비겁↔6하우스강조,헌신,"🤲 [3차 심층 해석] 인성이 비겁을 생하고 6하우스가 강조되어 있습니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n인성이 비겁을 생하면 받은 것을 나눕니다. 6하우스 강조는 일상적 봉사와 건강 관리에 헌신합니다.\n\n의료, 복지, 교육, 서비스 분야에서 보람을 느낍니다.\n\n💙 세상은 당신 같은 사람이 필요합니다. 봉사가 사명입니다.",🤲,봉사가기쁨입니다
ML_L3_043,DREAM_SHADOW_쫓기는꿈,JUNG_SHADOW_그림자,그림자직면,3,shadow_dream,쫓기는꿈↔그림자↔편관,직면해야할어둠,"🌑 [3중 융합 해석] 반복되는 쫓기는 꿈이 그림자 원형 및 편관과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n꿈에서 쫓기는 것은 회피하고 있는 내면의 면입니다. 융의 그림자는 인정하지 않은 자기의 어두운 면입니다.\n\n세 체계가 모두 같은 것을 가리킵니다: 직면해야 할 어둠이 있습니다.\n\n🔦 쫓는 자에게 돌아서서 물어보세요: '당신은 누구입니까?'",🌑,그림자를직면하세요
ML_L3_044,DREAM_ANIMA_이상적여인,JUNG_ANIMA_아니마,내면이성통합,3,anima_dream,이상적여인꿈↔아니마↔정재,내면의여성성,"👩 [3중 융합 해석] 꿈에 나타나는 이상적 여인이 아니마 및 정재와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n꿈의 여인은 외부 사람이 아닌 내면의 여성성입니다. 융의 아니마는 남성 안의 여성 원형입니다.\n\n세 체계가 가리키는 것: 내면의 감정, 직관, 관계 능력을 개발해야 합니다.\n\n💝 꿈의 여인은 밖에서 찾지 말고 안에서 만나세요.",👩,내면여성을만나세요
ML_L3_045,DREAM_SELF_만다라,JUNG_SELF_자기,자기실현,3,self_dream,만다라꿈↔자기↔태양,전체성을향해,"☀️ [3중 융합 해석] 만다라/원 모양의 꿈이 자기(Self) 원형 및 태양과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n꿈의 만다라/원은 전체성을 향한 무의식의 방향 제시입니다. 융의 자기(Self)는 의식과 무의식의 통합점입니다.\n\n세 체계가 가리키는 것: 당신은 전체성을 향해 가고 있습니다.\n\n🌀 이 꿈은 개성화 과정이 진행되고 있다는 좋은 징조입니다.",☀️,전체가되어가세요
ML_L3_046,NUMEROLOGY_LIFEPATH_1,SAJU_INDEPENDENT_건록격,선구자,3,pioneer,생명수1↔건록격↔양자리태양,개척자의길,"🚀 [3중 융합 해석] 생명수 1이 건록격 및 양자리 태양과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n수비학의 1은 독립과 리더십입니다. 건록격은 자수성가입니다.\n\n세 체계가 모두 같은 것을 가리킵니다: 당신은 앞서가는 사람입니다.\n\n🏃 먼저 길을 개척하세요. 그것이 당신의 운명입니다.",🚀,앞서가세요
ML_L3_047,TAROT_TOWER,SAJU_CRISIS_충,붕괴와재건,3,tower,타워↔충↔천왕성,갑작스러운변화,"⚡ [3중 융합 해석] 타로 탑 카드가 사주의 충(沖) 및 천왕성과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n타로의 탑은 갑작스러운 붕괴와 해방입니다. 사주의 충(沖)은 충돌과 변화입니다.\n\n세 체계가 가리키는 것: 갑작스러운 변화가 필요하거나 다가옵니다.\n\n🏗️ 무너지는 것은 다시 세워질 것입니다. 더 좋게.",⚡,붕괴가해방입니다
ML_L3_048,ICHING_HEX_63,SAJU_COMPLETION_삼합,완성직전,3,completion,기제↔삼합↔세계,완성과새시작,"✅ [3중 융합 해석] 주역 기제(旣濟/63)가 삼합 및 타로 세계 카드와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n기제(旣濟)는 이미 건넘, 완성입니다. 삼합이 완성되면 에너지가 조화롭게 흐릅니다.\n\n세 체계가 가리키는 것: 한 주기가 완성되고 있습니다.\n\n🔄 완성 후에는 새로운 시작이 있습니다. 준비하세요.",✅,완성후새시작
ML_L3_049,SAJU_TRAVEL_역마,ASTRO_TRAVEL_9thHouse,탐험가,3,travel,역마↔9하우스↔생명수5,움직이는삶,"✈️ [3중 융합 해석] 역마살이 9하우스 강조 및 생명수 5와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n역마살은 이동과 변화의 살입니다. 9하우스는 해외, 여행, 확장입니다.\n\n세 체계가 가리키는 것: 한 곳에 머물면 답답합니다.\n\n🌍 세계가 당신의 집입니다. 움직이면서 사세요.",✈️,세계를탐험하세요
ML_L3_050,SAJU_ARTIST_식신상관,ASTRO_ARTIST_금성해왕,창조자,3,artist,식신상관↔금성해왕↔여황제,예술적영혼,"🎭 [3중 융합 해석] 식신/상관이 금성-해왕성 애스펙트 및 여황제 카드와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n식신상관은 표현과 창조입니다. 금성-해왕성은 예술적 영감과 아름다움입니다.\n\n세 체계가 가리키는 것: 예술적 재능이 있습니다.\n\n🎨 창조하지 않으면 영혼이 시듭니다. 무엇이든 만드세요.",🎭,창조하세요
