id,label,type,year_number,cycle_position,description,focus,opportunity,challenge,advice,relationship_focus,career_focus,health_focus,saju_parallel,tarot_parallel,monthly_peak,best_actions,avoid_actions
PY_1,개인년1,personal_year,1,시작,"9년 주기의 새로운 시작. 씨앗을 뿌리는 해. 독립적인 행동과 새로운 시작이 요구된다.","새로운 프로젝트 시작, 독립, 자기주도적 결정, 정체성 확립.","창업, 이직, 새 관계 시작, 독립 생활, 새로운 취미 시작에 최적.","과거에 집착하면 새 에너지를 놓침. 두려움 극복 필요.","과감히 새 출발하세요. 올해 뿌린 씨앗이 9년간의 방향을 결정합니다.","새로운 만남 시작, 독립성 확보, 관계 재정립 필요","창업, 이직, 새 프로젝트, 승진, 자기 사업 최적기","활력 증가, 새 운동 시작 적기, 과로 주의","건록운/비견대운-새시작기","마법사/완드에이스","3월:행동개시 9월:점검조정","목표 설정, 새 시작, 결단, 자기 주장, 리더십 발휘","다른 사람에게 의존, 과거에 집착, 우유부단, 시작 미루기"
PY_2,개인년2,personal_year,2,성장,"인내와 협력의 해. 1년에 시작한 것들이 뿌리내리는 시기. 관계와 파트너십이 중요하다.","관계 구축, 팀워크, 세부사항 정리, 기다림의 미학.","좋은 파트너 만남, 협력 프로젝트, 내면 성장, 감정적 치유.","조급함. 눈에 보이는 성과가 적어 불안할 수 있음. 인내 필요.","서두르지 마세요. 관계에 투자하는 시간이 미래의 자산이 됩니다.","로맨틱 관계 발전, 결혼 적기, 파트너와 협력 강화","팀 프로젝트, 조정자 역할, 세부 작업, 협상","민감해진 신경, 충분한 휴식 필요, 스트레스 관리","정재운/정관운-협력기","여교황/컵2","6월:관계심화 11월:결실준비","협력, 인내, 경청, 세부사항 주의, 관계 돌봄","조급한 결정, 혼자 모든 것 해결, 갈등 유발, 강요"
PY_3,개인년3,personal_year,3,표현,"창조적 표현과 사교의 해. 에너지가 밝고 활기차며 예술적 활동이 꽃핀다.","자기표현, 창작 활동, 사교 확대, 즐거움 추구, 여행.","예술적 성취, 인맥 확대, 자기 브랜딩, 출판, 공연 기회.","에너지 분산. 너무 많은 것에 손대면 깊이가 없어짐. 소비 과다.","창의력을 마음껏 발휘하되, 에너지를 집중할 곳을 선택하세요.","사교 활성화, 새 친구, 연애, 가벼운 관계 즐김","창의적 직업 유리, 마케팅, 글쓰기, 엔터테인먼트","에너지 높음, 과식 과음 주의, 목구강 건강","식신운/상관운-표현기","여황제/컵3","5월:창작정점 10월:발표","창작, 표현, 사교, 여행, 취미 활동, 글쓰기","지나친 심각함, 고립, 에너지 분산, 완벽주의"
PY_4,개인년4,personal_year,4,구축,"근면과 구축의 해. 기초를 다지고 체계를 잡는 시기. 노력한 만큼 결과가 오는 현실적인 해.","기반 구축, 건강 관리, 재무 정리, 자격증 취득, 집/사무실 정비.","안정적 기반 마련, 전문성 강화, 부동산 관련 기회, 건강 개선.","지루함과 답답함. 자유가 제한되는 느낌. 과로와 건강 악화.","지금의 노력이 미래의 기반입니다. 건강을 챙기며 꾸준히 나아가세요.","안정적 관계 구축, 가정 기반 마련, 책임 증가","열심히 일해야 성과, 사업 기반 구축, 승진 준비","건강 기반 다지기, 정기 검진, 규칙적 생활","정재운/토대운-구축기","황제/펜타클4","4월:실행 8월:점검보강","기반 구축, 저축, 건강 관리, 체계화, 책임감","게으름, 도박, 급격한 변화, 기초 무시, 과로"
PY_5,개인년5,personal_year,5,변화,"자유와 변화의 해. 삶에 큰 변화가 찾아오며 새로운 경험과 모험의 기회가 넘친다.","변화 수용, 여행, 새로운 경험, 적응력 키우기, 유연성.","해외여행, 이사, 이직, 새로운 관계, 자유 확대, 모험적 경험.","무질서와 불안정. 변화가 너무 많아 혼란. 충동적 결정 위험.","변화를 두려워하지 마세요. 다만 충동과 자유를 구분하는 지혜가 필요합니다.","관계의 변화, 새 만남, 자유로운 연애, 기존 관계 재평가","직업 변화 적기, 새 분야 진출, 해외 관련 기회","활동량 증가, 사고 주의, 신체 자유 필요","역마운/역마대운-변화기","교황/완드8","5월:변화정점 9월:적응확장","여행, 변화 수용, 새 경험, 자유 추구, 유연성","변화 저항, 과도한 안정 추구, 갇혀있음, 두려움"
PY_6,개인년6,personal_year,6,책임,"사랑과 책임의 해. 가정과 관계에 집중하며 돌봄과 봉사가 중심이 되는 시기.","가정 관리, 결혼/출산, 관계 회복, 커뮤니티 봉사, 미적 활동.","결혼, 임신, 가족 관계 개선, 인테리어/리모델링, 봉사 기회.","과도한 책임감. 간섭과 통제. 자기 희생으로 인한 소진.","사랑하는 사람들을 돌보되, 자기 자신도 사랑의 대상임을 잊지 마세요.","결혼 적기, 가정 중심, 관계 헌신, 가족 돌봄","서비스업, 의료, 교육, 인테리어, 가정 사업","건강 돌봄 필요, 가족 건강 주의, 스트레스 관리","정인운/인성대운-돌봄기","연인/펜타클6","6월:조화정점 12월:감사","가정 돌봄, 책임 수용, 봉사, 사랑 표현, 조화","책임 회피, 과잉 간섭, 완벽주의, 희생자 의식"
PY_7,개인년7,personal_year,7,성찰,"내면 탐구와 영적 성장의 해. 외부 활동보다 내면의 목소리에 귀 기울이는 시기.","명상, 학습, 연구, 건강 점검, 내면 치유, 영적 수련.","학업 성취, 전문 지식 심화, 직관력 발달, 영적 각성, 자기 발견.","고립감. 외로움. 사회적 활동 감소. 우울감 가능.","혼자만의 시간을 두려워하지 마세요. 고요함 속에서 가장 깊은 답을 찾습니다.","관계 재평가, 깊은 연결 추구, 혼자만의 시간 필요","연구, 분석, 전문화, 컨설팅, 기술 심화","정신 건강 돌봄, 명상, 충분한 휴식, 검진","편인운/화개살운-성찰기","은둔자/컵7","7월:내면탐구정점 11월:통합","연구, 명상, 독서, 전문화, 영적 탐구, 혼자 시간","피상적 활동, 산만함, 영적 무시, 과도한 외부 활동"
PY_8,개인년8,personal_year,8,수확,"물질적 성취와 수확의 해. 지난 7년간의 노력이 결실을 맺는 시기. 재물과 권력의 흐름.","재무 관리, 투자, 승진, 사업 확장, 리더십 발휘, 성과 수확.","사업 성공, 승진, 재물 증가, 투자 수익, 사회적 인정.","물질에 집착. 탐욕. 권력 남용. 건강 소홀. 카르마적 청산.","수확의 기쁨을 누리되 감사와 나눔을 잊지 마세요. 주는 만큼 돌아옵니다.","권력 관계, 결혼 재정, 파트너십 성공, 영향력","대규모 사업, 투자, 부동산, 경영, 금융","건강 무시 경향, 균형 잡힌 생활 필요, 스트레스","정관운/편관운-성취기","힘/펜타클8","8월:성취정점 12월:감사정리","사업 확장, 투자, 목표 달성, 권위 확립, 재정 관리","지나친 물질 집착, 권력 남용, 윤리 무시, 탐욕"
PY_9,개인년9,personal_year,9,완성,"완성과 마무리의 해. 9년 주기의 끝. 놓아보내기와 정리정돈이 필요한 변환기.","관계 정리, 프로젝트 마무리, 용서와 화해, 기부와 나눔, 여행.","인생의 지혜 통합, 깊은 치유, 봉사를 통한 보람, 예술적 완성.","과거에 대한 집착. 끝나는 것에 대한 두려움. 상실감과 슬픔.","끝이 있어야 새 시작이 옵니다. 감사하며 놓아보내세요. 다음 주기가 기다립니다.","관계 정리, 이별, 용서, 보편적 사랑으로 확장","프로젝트 완성, 정리, 봉사 활동, 예술, 국제 업무","감정 정화 필요, 치유, 휴식, 에너지 재충전","화개살운/공망운-정리기","세계/컵9","9월:완성정점 12월:놓아주기","정리, 완성, 봉사, 용서, 놓아주기, 여행","새 시작 급하게, 과거 집착, 정리 미루기, 원망"
PY_11,개인년11/2,personal_year,11,영적각성,"마스터 넘버의 해. 영적 각성과 직관력이 극대화된다. 높은 긴장과 영감이 공존하는 특별한 해.","영적 각성, 직관 개발, 영감 창작, 치유, 교육, 봉사.","영적 각성, 직관적 통찰, 영감 받는 창작, 교육자 역할, 치유 능력.","극도의 긴장, 불안, 현실과 괴리, 신경과민, 과대망상.","높은 진동을 유지하되 땅에 발을 딛으세요. 영감을 현실화하는 것이 과제입니다.","영혼의 동반자 만남, 깊은 영적 연결, 카르마 관계","영적 직업, 치유, 상담, 예술, 영감을 주는 일","신경계 돌봄 중요, 명상, 충분한 휴식, 자극 피함","화개살+공망-각성기","정의/여교황","11월:직관정점 2월:현실화","직관 따르기, 영감 기록, 영적 수련, 높은 목표","현실 무시, 과도한 긴장, 직관 불신, 영적 과대망상"
PY_22,개인년22/4,personal_year,22,마스터빌더,"마스터 넘버 중 가장 강력한 현실화 에너지. 큰 비전을 실현하고 영속적 유산을 남길 수 있는 해.","대규모 프로젝트, 비전 현실화, 조직 구축, 사회적 기여, 유산 창조.","대규모 프로젝트, 사회적 기여, 영속적 유산 창조, 조직 구축, 시스템 설계.","과대한 압박감, 완벽주의, 번아웃, 실현 못함 좌절, 기반 무시.","비전을 한 걸음씩 현실화하세요. 위대한 건축도 벽돌 하나에서 시작합니다.","비전을 공유하는 파트너, 대규모 협력, 네트워크","대규모 사업, 건축, 시스템 구축, 사회적 기업","엄청난 에너지 필요, 건강 관리 필수, 충분한 휴식","건록격+정관-대규모실현기","황제/펜타클10","4월:기반 8월:구축정점","대규모 계획, 장기 투자, 유산 구축, 사회 기여","과대망상, 세부 무시, 혼자 모두 하려함, 조급함"
PY_33,개인년33/6,personal_year,33,마스터치유자,"가장 희귀한 마스터 넘버. 무조건적 사랑과 치유의 에너지가 극대화되는 신성한 해.","치유, 봉사, 무조건적 사랑, 영적 교육, 대규모 돌봄, 자기 희생 초월.","치유 능력 극대화, 영적 교사 역할, 커뮤니티 치유, 무조건적 사랑 실천.","자기 희생 과다, 에너지 고갈, 경계 부재, 순교자 콤플렉스.","당신도 치유가 필요합니다. 자신을 먼저 채워야 타인에게 줄 수 있습니다.","무조건적 사랑, 치유적 관계, 영적 동반자","치유, 교육, 봉사, 영적 지도, 커뮤니티 리더","자기 돌봄 필수, 에너지 경계, 과도한 희생 주의","정인격+화개살-치유자기","별/컵퀸","6월:치유정점 12월:통합","치유 봉사, 자기 돌봄, 경계 설정, 사랑 실천","과도한 희생, 경계 무시, 자기 무시, 번아웃"
