id,label,type,number,name_en,upright_meaning,reversed_meaning,astro_correspondence,saju_correspondence,advice
TM_00,바보,major_arcana,0,The_Fool,"새로운 시작, 순수한 잠재력, 모험으로의 도약. 두려움 없이 미지로 나아가는 용기.","무모함, 경솔함, 위험 무시, 시작을 두려워함, 어리석은 결정.","천왕성/물병자리. 자유와 혁신의 에너지. 기존 틀을 벗어나는 힘.","장생(새시작), 역마살 발동 시기. 편인격의 독특한 출발.","두려워 말고 첫 발을 내딛으세요. 모든 여정은 바보의 도약에서 시작됩니다."
TM_01,마법사,major_arcana,1,The_Magician,"의지와 집중, 기술의 숙달, 위아래의 연결. 생각을 현실로 만드는 능력.","조작, 속임수, 재능 낭비, 집중력 부족, 사기꾼 에너지.","수성. 소통과 기술의 행성. 생각과 현실을 연결하는 힘.","건록격, 편인격. 일간의 힘이 강하고 기술이 뛰어난 사주.","당신에게는 이미 필요한 모든 것이 있습니다. 의지를 집중하세요."
TM_02,여사제,major_arcana,2,The_High_Priestess,"직관, 신비, 무의식의 지혜. 드러나지 않은 것에 대한 앎. 내면의 목소리.","비밀 유지 실패, 표면적 지식, 직관 무시, 내면과의 단절.","달. 무의식과 직관의 빛. 숨겨진 것을 비추는 은빛 거울.","정인격 중 영적 성향. 공망 중 진공. 수(水) 기운이 깊은 사주.","고요히 앉아 내면의 목소리에 귀 기울이세요. 답은 이미 당신 안에 있습니다."
TM_03,여황제,major_arcana,3,The_Empress,"풍요, 창조, 모성, 자연의 아름다움. 생명을 낳고 기르는 힘. 감각적 기쁨.","창조적 막힘, 과보호, 질식시키는 사랑, 자기방치, 불임/불모.","금성. 사랑과 아름다움의 행성. 황소자리/천칭자리의 지배성.","식신격, 정재격 중 여성적 에너지. 토(土)/금(金) 기운이 조화로운 사주.","당신 안의 창조적 힘을 믿으세요. 무엇이든 키우고 가꿀 수 있습니다."
TM_04,황제,major_arcana,4,The_Emperor,"권위, 구조, 아버지, 리더십. 질서를 세우고 보호하는 힘. 안정된 기반.","독재, 과도한 통제, 유연성 부족, 권력 남용, 아버지 콤플렉스.","화성/양자리. 행동과 지배의 에너지. 개척하고 정복하는 힘.","정관격, 편관격 중 제어된 경우. 관성이 강하고 체계적인 사주.","힘에는 책임이 따릅니다. 보호하기 위해 권위를 사용하세요."
TM_05,교황,major_arcana,5,The_Hierophant,"전통, 교육, 영적 지혜의 전수. 기존 체계 안에서의 성장과 배움.","독단, 교조주의, 순응 강요, 전통에 대한 반항, 비밀 폭로.","목성/황소자리. 지혜와 물질적 안정의 결합. 신성한 가르침.","정인격. 천을귀인이 있는 사주. 귀인이 많고 학습 운이 좋은 경우.","스승에게서 배우되, 결국 자기 길을 찾는 것이 진정한 배움입니다."
TM_06,연인,major_arcana,6,The_Lovers,"사랑, 선택, 가치의 일치. 영혼의 짝. 중요한 갈림길에서의 결정.","관계 갈등, 가치 불일치, 잘못된 선택, 유혹에 굴복, 이별.","수성/쌍둥이자리. 소통과 선택의 에너지. 이중성의 통합.","정재격의 연애운, 도화살이 좋게 작용하는 시기. 삼합의 조화.","진정한 사랑은 선택입니다. 매일 그 선택을 다시 하세요."
TM_07,전차,major_arcana,7,The_Chariot,"의지의 승리, 결단과 전진. 상반된 힘을 조절하여 목표를 향해 나아감.","방향 상실, 통제력 상실, 공격성, 좌절, 멈출 줄 모르는 폭주.","달/게자리. 감정의 힘을 의지로 조종. 보호하며 전진하는 에너지.","편관격 중 제어된 경우. 양인합살. 역마살이 좋게 발동하는 시기.","앞으로 나아가되, 어디로 가는지 알고 가세요."
TM_08,힘,major_arcana,8,Strength,"내면의 힘, 용기, 인내. 야수를 부드러움으로 다스림. 두려움을 극복하는 힘.","자기 의심, 용기 부족, 힘의 남용, 통제력 상실, 두려움에 굴복.","태양/사자자리. 자아의 빛으로 어둠을 밝히는 힘. 왕의 용기.","건록격, 식신제살(식신이 편관을 제어). 비겁이 안정적인 사주.","진정한 힘은 부드러움입니다. 야수를 죽이지 말고 품으세요."
TM_09,은둔자,major_arcana,9,The_Hermit,"내면 탐구, 고독, 지혜 추구. 홀로 깊이 들어가 진리를 찾는 여정.","지나친 고립, 외로움, 지혜의 거부, 은둔 거부, 길을 잃음.","수성/처녀자리. 분석과 정제의 에너지. 본질을 찾아가는 여정.","편인격, 공망 중 진공. 학당귀인. 수(水) 기운이 깊은 사주.","혼자만의 시간이 필요합니다. 고요함 속에서 가장 깊은 답을 찾습니다."
TM_10,운명의수레바퀴,major_arcana,10,Wheel_of_Fortune,"변화, 순환, 운명의 전환점. 올라갈 때와 내려갈 때가 있음. 행운의 도래.","불운, 저항할 수 없는 변화, 통제력 상실, 순환에 대한 저항.","목성. 확장과 행운의 행성. 카르마의 수레바퀴를 돌리는 힘.","대운 교체기. 공망 충전 시기. 삼합/육합이 완성되는 년운.","변화를 받아들이세요. 바퀴는 돌고, 지금의 밑바닥이 내일의 정상입니다."
TM_11,정의,major_arcana,11,Justice,"균형, 공정, 인과응보. 올바른 판단과 책임. 진실이 드러남.","불공정, 부정직, 책임 회피, 편파적 판단, 카르마의 지연.","금성/천칭자리. 균형과 조화의 에너지. 저울의 정확함.","정관격. 형충이 정리되는 시기. 관성이 바르게 작용하는 사주.","당신이 뿌린 것을 거둡니다. 정직하게 행동하면 두려울 것이 없습니다."
TM_12,매달린사람,major_arcana,12,The_Hanged_Man,"항복, 새로운 관점, 희생을 통한 지혜. 거꾸로 매달려 세상을 다르게 봄.","무의미한 희생, 지연, 수동성, 관점 전환 거부, 순교자 콤플렉스.","해왕성/물고기자리. 경계의 해체, 자아의 초월, 신비적 항복.","공망 시기, 절(絶)운. 상관견관으로 고난을 겪는 시기.","가끔은 놓아야 합니다. 통제를 포기할 때 새로운 시야가 열립니다."
TM_13,죽음,major_arcana,13,Death,"변환, 끝과 시작, 재탄생. 낡은 것이 죽어야 새것이 태어남. 근본적 변화.","변화 저항, 정체, 두려움, 변환 실패, 과거에 집착.","명왕성/전갈자리. 죽음과 재생의 힘. 가장 깊은 변환의 에너지.","절(絶)운에서 태(胎)운으로의 전환. 공망이 충전되는 시기.","끝은 새 시작입니다. 놓아보내야 새것을 받을 수 있습니다."
TM_14,절제,major_arcana,14,Temperance,"균형, 조화, 인내. 대립되는 것의 통합. 중용의 지혜. 천사의 연금술.","불균형, 극단, 과잉/부족, 인내 부족, 갈등.","목성/사수자리. 확장 속의 균형, 철학적 통합.","중화된 사주. 용신이 적절히 작용. 오행의 균형이 잡힌 경우.","극단을 피하고 중용을 지키세요. 진정한 지혜는 균형에 있습니다."
TM_15,악마,major_arcana,15,The_Devil,"그림자, 집착, 물질주의, 구속. 스스로 채운 사슬. 어두운 욕망.","해방, 사슬 끊기, 집착에서 벗어남, 또는 더 깊은 구속.","토성/염소자리. 제한과 구조, 물질적 야망의 어두운 면.","편재가 탐욕으로 작용, 도화살이 음란하게 작용. 칠살 무제어.","사슬은 당신이 채운 것입니다. 열쇠도 당신에게 있습니다."
TM_16,탑,major_arcana,16,The_Tower,"갑작스러운 붕괴, 계시, 거짓의 파괴. 번개에 맞아 무너지는 탑. 해방적 파괴.","파국 회피, 변화 거부, 재앙 지연, 또는 불필요한 파괴.","화성. 갑작스럽고 파괴적인 에너지. 축적된 긴장의 방출.","공망이 충으로 깨지는 시기. 형충파해가 동시에 발동. 편관이 폭발.","탑이 무너져야 하늘이 보입니다. 거짓된 구조물은 무너져야 합니다."
TM_17,별,major_arcana,17,The_Star,"희망, 영감, 평화. 폭풍 후의 고요. 우주와의 연결. 치유와 회복.","희망 상실, 낙담, 영감 고갈, 우주와의 단절, 신뢰 상실.","천왕성/물병자리. 미래에 대한 비전, 혁신적 희망.","장생, 천을귀인 활성화. 공망이 합으로 해소된 후.","어둠이 지나면 별이 보입니다. 희망을 잃지 마세요."
TM_18,달,major_arcana,18,The_Moon,"환상, 무의식, 두려움. 달빛 아래의 불확실함. 숨겨진 것들. 직관의 여정.","환상에서 깨어남, 두려움 극복, 또는 더 깊은 혼란과 기만.","달/물고기자리. 무의식의 심해, 경계 없는 감정의 바다.","편인격, 수(水) 기운 과다. 공망 시기의 불안. 도화살의 혼란.","달빛은 속이기도 하지만 숨겨진 것을 드러내기도 합니다. 직관을 믿으세요."
TM_19,태양,major_arcana,19,The_Sun,"기쁨, 성공, 활력. 모든 것이 밝게 드러남. 순수한 행복. 어린아이의 기쁨.","일시적 우울, 낙관주의 과잉, 현실 직시 거부, 번아웃.","태양. 자아의 빛, 생명력, 의식의 중심.","제왕/임관운. 정관격의 좋은 시기. 삼합/육합이 좋게 작용.","태양처럼 빛나되, 태양 아래 그림자도 있음을 기억하세요."
TM_20,심판,major_arcana,20,Judgement,"각성, 부름, 심판. 과거의 청산과 새로운 탄생. 더 높은 목적에 대한 응답.","자기 의심, 심판 거부, 부름 무시, 과거에 사로잡힘.","명왕성. 죽은 자들의 부활, 궁극적 변환.","대운 교체기, 공망 충전, 절에서 태로의 전환.","부름에 응답하세요. 과거의 당신이 죽고 새로운 당신이 태어납니다."
TM_21,세계,major_arcana,21,The_World,"완성, 통합, 성취. 한 사이클의 완성. 우주와의 합일. 춤추는 세계.","미완성, 지연, 목표 직전의 중단, 완성에 대한 두려움.","토성. 구조의 완성, 시간의 원환, 카르마의 성취.","제왕운의 정점, 삼합/육합 완성. 용신 대운의 절정.","이 춤이 끝나면 새로운 춤이 시작됩니다. 완성을 축하하되 멈추지 마세요."