"id","label","type","category","formation","description","personality","career","wealth","relationship","health","advice"
"GK_식신격","식신격","geokguk","식상격","식신이월지통근","식신격은 일간이 생하는 오행(식신)이 월지에 통근한 격국. 온화하고 지적이며 창조적 활동에 재능이 있다.","온화하고 여유로운 성격. 식복이 좋고 학문적 재능. 표현력이 풍부하며 사교적. 예술적 감각.","교수, 연구원, 작가, 요리사, 영양사, 예술가. 지적/창조적 직업에 적합.","안정적 재물운. 급격한 부보다 꾸준한 수입. 식품/교육 관련 사업 유리.","따뜻하고 포근한 파트너. 자녀운이 좋음. 먹는 것으로 사랑 표현.","소화기 계통 주의. 비만/당뇨 관리 필요. 식습관이 건강을 좌우.","식신의 여유를 유지하되 게으름에 빠지지 않도록. 꾸준한 자기계발이 핵심."
"GK_상관격","상관격","geokguk","식상격","상관이월지통근","상관격은 일간이 생하는 오행(상관)이 월지에 통근한 격국. 재능이 출중하나 반항적이고 날카로운 성향.","총명하고 재능 넘침. 기존 체계에 도전적. 비판적 사고. 예리한 관찰력. 자유분방.","예술가, 변호사, 프리랜서, 비평가, 혁신 기업가. 기존 틀을 깨는 직업.","불규칙한 재물운. 큰돈을 벌기도 하나 변동이 큼. 특수 재능으로 부 축적.","뜨겁고 격정적인 연애. 질투와 갈등이 잦음. 이혼 주의. 독특한 매력.","신경계통 질환 주의. 스트레스성 질병. 수면장애 가능.","날카로운 재능을 건설적으로 사용하라. 파괴가 아닌 창조에 에너지를 쏟을 것."
"GK_편재격","편재격","geokguk","재성격","편재가월지통근","편재격은 일간이 극하는 오행(편재)이 월지에 통근한 격국. 사업수완이 뛰어나고 돈의 흐름을 잘 읽는다.","활동적이고 사교적. 사업 감각이 탁월. 돈을 잘 벌고 잘 씀. 의리 있으나 변덕.","사업가, 무역상, 투자가, 세일즈, 유통업, 이벤트업. 큰돈이 움직이는 직업.","큰돈이 들어오고 나감. 투기적 재물운. 편재는 남의 재물이라 흘러가는 돈.","이성 관계가 복잡할 수 있음. 편재는 아버지/여자를 의미. 다정다감하나 바람기 주의.","간담 계통 주의. 과음/과식 주의. 활동량이 많아 체력 관리 중요.","편재의 유동성을 인정하되 기본 자산은 안정적으로 지키라. 분산 투자 추천."
"GK_정재격","정재격","geokguk","재성격","정재가월지통근","정재격은 일간이 극하는 오행(정재)이 월지에 통근한 격국. 성실하고 근면하며 안정적인 재물 축적에 능하다.","근면하고 정직. 절약 정신. 현실적이고 실용적. 안정을 추구. 보수적 경향.","은행원, 회계사, 공무원, 관리직, 자영업. 안정적이고 체계적인 직업.","안정적이고 꾸준한 재물 축적. 저축에 능함. 급격한 재물 변동은 적음.","안정적이고 충실한 배우자. 가정적. 정재는 정당한 아내/재물을 의미.","비장/위장 계통 주의. 과로로 인한 소화불량. 스트레스성 질환.","안정은 좋으나 지나친 인색함은 경계. 적절한 투자와 자기 투자도 필요."
"GK_편관격","편관격","geokguk","관성격","편관이월지통근","편관격은 일간을 극하는 오행(편관/칠살)이 월지에 통근한 격국. 강한 추진력과 카리스마를 가졌다.","강인하고 결단력 있음. 리더십 강하나 독단적. 위기 상황에서 빛남. 군인/경찰 기질.","군인, 경찰, 외과의사, 격투기선수, CEO, 위기관리 전문가. 강한 체력과 결단력 필요한 직업.","변동이 큰 재물운. 위험을 무릅쓰고 큰 성과를 거둠. 투기적 성향.","강렬하고 지배적인 연애. 상대를 보호하려 하나 통제적일 수 있음. 갈등 잦음.","외상/수술 주의. 혈압/심장 관련 질환. 과도한 스트레스.","칠살의 공격성을 정의를 위해 사용하라. 제어되지 않은 편관은 재앙."
"GK_정관격","정관격","geokguk","관성격","정관이월지통근","정관격은 일간을 극하는 오행(정관)이 월지에 통근한 격국. 품위 있고 사회적 규범을 존중하는 지도자형.","품위 있고 예의 바름. 사회적 규범 존중. 책임감 강함. 명예를 중시. 원칙주의.","고위 공무원, 판사, 교수, 대기업 임원, 외교관. 사회적 지위가 높은 직업.","안정적이고 명예로운 재물. 녹봉(월급)형 수입. 부정한 재물 거부.","예의 바르고 격식 있는 연애. 좋은 배우자를 만남. 가문을 중시.","심장/혈압 관련 주의. 과중한 책임감으로 인한 스트레스. 수면 관리.","정관의 격식을 유지하되 유연성도 키워라. 원칙만으로는 변화에 대응 어려움."
"GK_편인격","편인격","geokguk","인성격","편인이월지통근","편인격은 일간을 생하는 오행(편인)이 월지에 통근한 격국. 독특한 사고와 직관력을 가진 비범한 인물.","독특하고 비범한 사고. 직관력 뛰어남. 편집적 집중력. 고독을 즐김. 종교/철학적 성향.","종교인, 철학자, 한의사, 점술가, 프로그래머, 발명가. 비범한 전문 분야.","불규칙한 재물운. 정신적 가치를 더 중시. 예상치 못한 곳에서 수입.","독특한 연애관. 일반적 결혼 형태를 거부할 수 있음. 영적 교류를 중시.","신경계/정신건강 주의. 불면증, 우울증 가능. 건강 관리 소홀 경향.","편인의 직관을 현실에 접목하라. 머릿속 세계에만 머물면 고립됨."
"GK_정인격","정인격","geokguk","인성격","정인이월지통근","정인격은 일간을 생하는 오행(정인)이 월지에 통근한 격국. 학문적 재능과 인자한 성품을 가진 학자형.","인자하고 학문적. 모성적 보호 본능. 배움을 좋아함. 문서운 좋음. 지적 호기심.","학자, 교사, 작가, 의사, 상담사, 공무원. 학문과 가르침 관련 직업.","안정적 재물. 문서(계약/자격증)를 통한 수입. 부동산 문서 운 좋음.","따뜻하고 지적인 파트너. 어머니 같은 따뜻함. 가르치고 돌보는 관계.","비뇨기/신장 계통 주의. 냉기에 약함. 겨울 건강 관리 중요.","정인의 학문을 세상에 나누라. 배움만 하고 실천하지 않으면 공허."
"GK_건록격","건록격","geokguk","특수격","일간이월지건록","건록격은 일간의 록(禄)이 월지에 있는 격국. 타고난 복과 능력이 있으나 육친 덕이 부족할 수 있다.","자수성가형. 독립적이고 자립심 강함. 타고난 능력은 있으나 홀로 개척해야 함.","프리랜서, 자영업, 1인 기업, 전문직. 자기 힘으로 일어서는 직업.","자수성가의 재물. 초년에는 어렵지만 중년 이후 안정. 근면으로 부를 축적.","자립적 연애. 상대에게 의존하지 않음. 부부가 각자의 영역이 있음.","체력은 기본적으로 좋으나 과로 주의. 혼자 모든 것을 감당하려는 습관.","독립심은 강점이나 도움을 받는 것도 지혜. 혼자만의 힘에는 한계가 있음."
"GK_양인격","양인격","geokguk","특수격","일간양인이월지","양인격은 일간의 양인(羊刃)이 월지에 있는 격국. 매우 강한 기운으로 잘 쓰면 영웅, 못 쓰면 흉.","극도로 강한 성격. 과감하고 무모할 수 있음. 승부욕 강함. 양극단의 운명.","군인, 경찰, 외과의사, 검사, 격투기선수. 위험하고 강한 직업.","대박 아니면 쪽박. 극단적 재물운. 도박성 투자 주의.","격렬한 연애. 상대와 충돌 잦음. 이혼 가능성 높으나 운명적 만남도.","외상/수술/사고 주의. 혈액 관련 질환. 무리한 운동 경계.","양인의 칼날 같은 에너지를 제어하라. 편관이나 식신으로 제어되면 영웅의 격."
"GK_종격_종강","종강격","geokguk","종격","일간극강_사주전체비겁","종강격은 일간이 극도로 강하여 모든 것이 비겁(나와 같은 오행)인 격국. 독불장군형이나 강한 추진력.","극도로 독립적이고 강한 자아. 타인과 어울리기 어려우나 돌파력 최강.","혼자 일하는 전문직, 독립 사업가, 예술가. 조직 생활 부적합.","자기 힘으로 버는 재물. 타인의 도움 없이 축적. 재물이 모이면 크게 모임.","강한 자아로 인해 관계 유지 어려움. 나와 같은 타입의 사람과 합.","과도한 에너지로 인한 고혈압/두통. 기가 울체되면 큰 질병 가능.","강한 에너지를 올바른 방향으로. 주변 사람들과의 조화를 배우는 것이 인생 과제."
"GK_종격_종약","종약격","geokguk","종격","일간극약_사주전체설기","종약격(종재/종관/종아)은 일간이 극도로 약하여 다른 오행을 따르는 격국. 환경에 순응하며 성공.","유연하고 적응력 뛰어남. 환경에 따라 크게 변함. 좋은 환경에서 빛남.","대기업, 관공서, 가문의 사업 승계. 좋은 조직에서 성과 극대화.","따르는 오행에 따라 다름. 종재격은 재물운 최상, 종관격은 관직운 최상.","파트너에 의해 운이 크게 좌우됨. 좋은 배우자가 인생을 바꿈.","일간이 약하므로 기본 체력 관리가 핵심. 면역력 강화 필수.","좋은 환경과 좋은 사람을 선택하는 것이 종격의 핵심 전략."
"GK_식신제살격","식신제살격","geokguk","변격","식신이칠살을제어","식신제살격은 사주에 칠살(편관)이 있으나 식신이 이를 제어하는 격국. 무력을 지혜로 다스리는 형상.","지혜롭고 전략적. 강한 상대도 두려워하지 않음. 냉철한 판단력과 용기 겸비.","외교관, 협상가, 전략컨설턴트, 군사전략가, 위기관리 전문가. 갈등 해결 전문.","위기를 기회로 바꾸는 재물운. 어려운 상황에서 오히려 돈을 번다.","강한 상대를 다루는 능력. 배우자가 강해도 원만하게 지냄. 조율 능력 탁월.","스트레스성 위장질환 주의. 긴장을 풀지 못하는 경향. 휴식이 중요.","식신의 여유로 칠살의 날카로움을 누그러뜨려라. 급할수록 돌아가는 지혜."
"GK_상관견관격","상관견관격","geokguk","흉격","상관이정관을봄","상관견관격은 상관이 정관을 극하는 흉격. 권위에 도전하고 기존 체계와 충돌하는 불안정한 운명.","반항적이고 권위를 인정하지 않음. 뛰어난 재능이 있으나 사회와 마찰. 불운을 자초.","자유직업, 예술가, 혁명가, 사회운동가. 조직 생활 부적합. 권위에 반기.","재물운 불안정. 직장 유지 어려움. 권위자와의 마찰로 손해. 독립해야 안정.","배우자와 갈등 잦음. 이혼 가능성 높음. 관계에서 늘 긴장과 갈등.","신경쇠약/우울증 주의. 자신을 해치는 경향. 정신건강 관리 필수.","상관의 날카로움을 창조에 쓰라. 정관(권위)을 무너뜨리기보다 새 길을 개척하라."
"GK_상관패인격","상관패인격","geokguk","귀격","상관에정인이있음","상관패인격은 상관의 날카로움을 정인이 제어하여 귀하게 되는 격국. 재능과 학문이 조화를 이룸.","총명하면서도 학문적 깊이. 비판력과 포용력 겸비. 창의성과 논리력의 조화.","작가, 학자, 비평가, 교수, 연구원. 비판적 글쓰기와 학문 분야에서 성공.","학문과 재능으로 안정적 재물 축적. 문서/저작권/특허로 수입.","지적인 교류를 중시. 대화가 통하는 배우자. 논쟁도 있으나 건설적.","두뇌 과로로 인한 두통. 충분한 수면과 휴식 필요. 명상 권장.","상관의 창의성과 정인의 학문을 균형있게 발전시켜라. 이론과 실천의 조화."
"GK_재다신약격","재다신약격","geokguk","흉격","재성과다_일간약","재다신약격은 재성이 너무 많아 약한 일간이 감당하지 못하는 격국. 돈에 휘둘리고 과욕으로 실패.","욕심이 많으나 능력 부족. 큰 것을 노리다 작은 것도 잃음. 과로와 스트레스.","적성에 맞지 않는 돈벌이에 휘둘림. 몸에 맞지 않는 과도한 업무.","돈은 많이 보이나 내 것이 아님. 재물이 흘러나감. 과도한 지출/투자 실패.","배우자나 이성 문제로 고통. 여러 이성 관계로 인한 스캔들. 가정불화.","과로/스트레스로 인한 만성질환. 체력 고갈. 휴식이 절실.","욕심을 버리고 분수에 맞게 살아라. 비겁(비견/겁재)이 오면 도움이 된다."
"GK_관다신약격","관다신약격","geokguk","흉격","관성과다_일간약","관다신약격은 관성이 너무 많아 약한 일간이 압박받는 격국. 스트레스와 억압 속에 사는 힘든 운명.","소심하고 자신감 부족. 늘 남의 눈치를 봄. 책임감에 짓눌림. 자기표현 어려움.","원치 않는 직장/직위에 억매임. 상사의 압박. 조직 내 고통.","명예에 비해 실속 없음. 책임만 많고 돈은 적음. 직위가 족쇄.","배우자/자녀에게 휘둘림. 가정 내에서도 억압받는 위치. 주체성 상실.","스트레스성 질환. 우울증/불안장애. 심장/혈압 문제. 정신건강 위험.","인성(인수)의 도움이 필요. 학문/자격증으로 자신을 강화하라. 스스로를 키워야."
"GK_인다신약격","인다신약격","geokguk","흉격","인성과다_일간약","인다신약격은 인성이 너무 많아 오히려 일간을 약하게 만드는 격국. 어머니 과잉보호처럼 의존적.","의존적이고 자립심 부족. 생각만 많고 행동 없음. 이론에 치우침. 나약함.","실무보다 이론/연구 분야. 현실 적응 어려움. 부모/멘토에 의존.","재물 욕구 약함. 학문은 있으나 돈은 없음. 청빈하나 가난할 수 있음.","모성적 관계에 의존. 배우자에게 어머니 역할 기대. 자녀 양육 어려움.","소화기 약함. 운동 부족으로 인한 체력 저하. 냉증/수족냉증.","재성(재물/현실)을 키워야. 생각을 행동으로 옮기는 연습. 독립심 강화."
"GK_비겁쟁재격","비겁쟁재격","geokguk","흉격","비겁이재성을쟁탈","비겁쟁재격은 비겁(비견/겁재)이 많아 재물을 다투는 격국. 형제/친구와의 재물 분쟁 암시.","경쟁심 강하고 투쟁적. 내 것에 대한 집착. 주변과 경쟁/갈등 많음.","경쟁이 심한 분야. 동업 실패 많음. 혼자 하는 것이 안전.","재물이 들어와도 빠져나감. 빌려주거나 사기당함. 형제/친구에게 재물 손실.","배우자와 재물 다툼. 이성 관계도 경쟁자가 생김. 삼각관계 주의.","근육/뼈 관련 질환. 과도한 경쟁심으로 인한 스트레스. 사고 주의.","식상(식신/상관)으로 비겁의 에너지를 빼라. 경쟁보다 창조에 에너지를 쓸 것."
"GK_관인상생격","관인상생격","geokguk","귀격","관성생인성_인성생일간","관인상생격은 관성이 인성을 생하고 인성이 일간을 생하는 연속 상생의 귀격. 권력과 학문의 조화.","품위 있고 학문적. 권위와 지식을 겸비. 사회적 존경을 받음. 고위직 자질.","고위 공무원, 판사, 검사, 대학교수, 대기업 임원. 권위와 지식 겸비 직종.","명예로운 재물. 안정적 고수입. 사회적 지위에 걸맞은 경제력.","존경받는 가정. 배우자도 품위 있음. 자녀 교육에 성공. 명문가.","과로와 책임감으로 인한 스트레스. 고혈압/심장 관리. 휴식 필요.","관인상생의 복을 사회에 환원하라. 높은 위치에서 베풀어야 복이 지속된다."
"GK_재관쌍미격","재관쌍미격","geokguk","귀격","재성과관성이모두양호","재관쌍미격은 재성과 관성이 모두 아름답게 배치된 귀격. 재물과 명예를 동시에 얻는 복된 운명.","능력 있고 품위 있음. 현실적이면서도 품격 유지. 성공한 CEO형.","기업 대표, 고위 관리직, 전문경영인. 재물과 명예를 동시에 추구.","재물과 명예가 함께. 돈도 벌고 존경도 받음. 안정적이면서도 풍요로운 재물.","부유하고 명예로운 가정. 배우자복, 자녀복 모두 좋음. 사회적 인정.","과로 주의. 두 마리 토끼를 좇느라 건강 소홀. 정기 검진 필수.","재관의 복을 유지하려면 균형이 핵심. 어느 한쪽에 치우치면 다른 쪽이 무너진다."
"GK_식신생재격","식신생재격","geokguk","귀격","식신이재성을생함","식신생재격은 식신이 재성을 생하는 연속 상생의 귀격. 재능으로 재물을 버는 이상적인 구조.","재능이 뛰어나고 이를 돈으로 연결. 창작/기술로 부를 축적. 실용적 창의성.","요리사, 작가, 예술가, 발명가, 콘텐츠 크리에이터. 재능을 돈으로 바꾸는 직업.","재능이 곧 재물. 꾸준히 노력하면 꾸준히 수입. 안정적 고수입 가능.","따뜻하고 풍요로운 가정. 먹는 것, 주는 것에 인색하지 않음. 가족 행복.","소화기와 당뇨 주의. 풍요로 인한 과식/과음. 절제가 건강의 열쇠.","식신의 재능을 게으르지 않게 갈고닦아라. 꾸준한 창작 활동이 재물을 유지."
"GK_살인상생격","살인상생격","geokguk","귀격","칠살생인성_인성생일간","살인상생격은 칠살의 공격 에너지가 인성으로 변환되어 일간을 돕는 귀격. 위기를 기회로 바꿈.","역경을 이겨내는 강인함. 어려운 환경에서 학문/기술 습득. 고난 극복형 성공.","군인에서 학자로, 운동선수에서 지도자로. 힘든 경험을 지혜로 승화.","어려운 시작이나 중년 이후 안정. 고난 속에서 축적한 능력이 재물로 전환.","험난한 연애 후 안정적 결혼. 시련을 함께 이겨낸 배우자와 깊은 유대.","초년 건강이 약할 수 있으나 점점 강해짐. 정신력이 체력을 이김.","칠살의 시련을 원망하지 말라. 그것이 인성(지혜)을 키운 것임을 알아야."
"GK_상관생재격","상관생재격","geokguk","귀격","상관이재성을생함","상관생재격은 상관이 재성을 생하는 격국. 날카로운 재능이 재물 창출로 연결되는 구조.","비판적이면서도 돈을 잘 번다. 독특한 아이디어로 사업 성공. 혁신적 창업가.","혁신 기업가, 변호사, 컨설턴트, 크리에이터. 기존 틀을 깨면서 돈을 번다.","특이한 방식으로 큰돈을 번다. 남들이 안 하는 것에서 수익. 변동은 있으나 고수익.","자유로운 연애관. 결혼 형태도 독특할 수 있음. 재력으로 관계 유지.","신경과민/스트레스 질환. 뇌를 많이 쓰므로 두통/불면증. 휴식이 돈이다.","상관의 에너지를 파괴가 아닌 창조에 쓰면 재성이 따른다. 비판만 하면 실패."
"GK_종재격","종재격","geokguk","종격","일간극약_종재","종재격은 일간이 극히 약하여 재성을 따르는 격국. 재물과 여자(남자는 아내)가 인생의 중심.","재물에 순응. 돈의 흐름에 몸을 맡김. 재테크 감각 탁월. 현실적.","금융, 투자, 유통, 무역. 돈이 흐르는 곳에서 성공. 부자 집안 사업 승계.","재물운 최상. 따르기만 하면 돈이 들어옴. 큰 부자 가능성.","배우자에 의해 운이 결정. 부자 배우자를 만나면 인생 역전.","재물 욕심으로 인한 과로. 체력 관리 필수. 돈보다 건강.","종재격은 재물 흐름에 순응이 핵심. 비겁이 오면 격이 파괴되니 주의."
"GK_종관격","종관격","geokguk","종격","일간극약_종관","종관격은 일간이 극히 약하여 관성을 따르는 격국. 명예/직위/조직이 인생의 중심.","조직에 순응. 위계질서를 따름. 충성스럽고 성실. 상사에게 인정받음.","대기업, 관공서, 군대. 큰 조직에서 성공. 고위직 가능.","명예로운 재물. 월급/연봉으로 안정적 고수입. 직위에 따른 대우.","배우자/사회적 지위에 의해 운 결정. 명문가 결혼으로 신분 상승.","조직 스트레스. 심장/혈압 관리. 책임감 과중으로 인한 번아웃.","종관격은 조직과 명예에 순응이 핵심. 비겁이 오면 상관에게 미움받으니 주의."
"GK_종아격","종아격","geokguk","종격","일간극약_종식상","종아격은 일간이 극히 약하여 식상(자녀)을 따르는 격국. 자녀/제자/창작물이 인생의 중심.","창조적이고 자녀 중심. 표현력 뛰어남. 예술적 감각. 교육자 기질.","예술가, 교사, 작가, 육아전문가. 창작과 교육 분야에서 성공.","자녀/제자/작품을 통해 재물 획득. 로열티/교육 수입. 늦게 피는 꽃.","자녀에 의해 운 결정. 자녀 성공이 부모 행복. 제자복도 포함.","출산/생식기 계통 주의. 소화기 관리. 자녀 걱정으로 인한 스트레스.","종아격은 창작과 양육에 순응이 핵심. 비겁이 오면 자녀/제자와 갈등."
"GK_화기격","화기격","geokguk","특수격","일간약_식상으로기운전환","화기격은 일간이 약하나 식상으로 기운을 전환하여 활로를 찾는 격국. 재능 발휘로 성공.","재능 발휘형. 약점을 강점으로. 숨은 재능 발견. 위기에서 빛남.","재능 기반 직업. 강사, 컨설턴트, 프리랜서. 자신의 능력을 팔아 사는 직업.","재능이 곧 재물. 노력한 만큼 수입. 기술/재능 기반 안정적 수입.","재능으로 상대를 매료. 끼 있는 사람이 인기. 매력적인 연인.","소화기/호흡기 주의. 재능 발휘에 에너지를 많이 쓰므로 충분한 영양 섭취.","화기격은 재능 개발이 핵심. 게을러지면 격이 무너진다. 꾸준한 자기계발."
"GK_종혁격","종혁격","geokguk","특수격","경신일주_사주전체금기","종혁격은 경금/신금 일간이 사주 전체가 금(金)으로 이루어진 특수 격국. 극도의 결단력과 날카로움.","칼날 같은 성격. 결단력 최강. 정의감 강렬. 불의를 참지 못함. 군인/검사 기질.","군인, 검사, 외과의사, 금속공업, 귀금속. 금속/무기/정의 관련 분야.","금전적 결단력 있음. 투자에서 과감한 결정. 성공하면 크게 성공.","강렬한 연애. 배우자에게 엄격. 규율 있는 가정. 때로는 삭막함.","폐/호흡기/피부 주의. 금 과다로 건조함. 충분한 수분 섭취.","종혁격의 날카로움을 정의를 위해 사용하라. 화(火)가 오면 격이 약해지니 주의."
"GK_윤하격","윤하격","geokguk","특수격","갑을일간_사주전체목기","윤하격은 갑목/을목 일간이 사주 전체가 목(木)으로 이루어진 특수 격국. 곧은 성품과 성장.","곧고 정직함. 성장 지향적. 교육/학문에 재능. 우직하고 순수.","교육자, 목재업, 농림업, 출판업. 성장/교육/자연 관련 분야.","꾸준히 성장하는 재물운. 투기보다 장기 투자. 안정적 성장.","순수하고 진실된 연애. 배우자와 함께 성장. 자녀 교육열 높음.","간담/근육 계통 주의. 스트레칭과 유연성 운동 필요.","윤하격의 성장 에너지를 교육과 자기계발에 투자하라. 금(金)이 오면 위험."
"GK_가색격","가색격","geokguk","특수격","무기일간_사주전체토기","가색격은 무토/기토 일간이 사주 전체가 토(土)로 이루어진 특수 격국. 안정과 포용의 극치.","안정적이고 포용력 있음. 중재자 기질. 신뢰감. 변화를 싫어함. 보수적.","부동산, 건설업, 농업, 중재/조정업. 땅/안정/중재 관련 분야.","부동산 재물운 좋음. 땅과 관련된 투자 유리. 급변 없는 안정적 축적.","안정적이고 믿음직한 배우자. 가정이 편안한 휴식처. 변화 싫어함.","비장/위장/소화기 주의. 습기 관리. 규칙적인 식사가 중요.","가색격의 안정을 유지하되 변화에 대한 유연성도 키워라. 목(木)이 오면 흔들림."
"GK_염상격","염상격","geokguk","특수격","병정일간_사주전체화기","염상격은 병화/정화 일간이 사주 전체가 화(火)로 이루어진 특수 격국. 열정과 빛의 극치.","열정적이고 빛나는 성격. 주목받기를 좋아함. 예술적 재능. 때로는 성급함.","연예인, 예술가, 홍보/마케팅, 조명/영상업. 빛/표현/열정 관련 분야.","뜨거운 재물운. 한 번에 크게 벌거나 잃음. 투기적이나 고수익 가능.","열정적이고 뜨거운 연애. 식지 않는 사랑. 때로는 질투와 갈등.","심장/혈압/눈 주의. 열이 많아 냉각이 필요. 충분한 수분 섭취.","염상격의 열정을 창조적으로 발산하라. 수(水)가 오면 격이 꺼지니 주의."
"GK_윤하격_수","윤하격","geokguk","특수격","임계일간_사주전체수기","윤하격은 임수/계수 일간이 사주 전체가 수(水)로 이루어진 특수 격국. 지혜와 유연함의 극치.","지혜롭고 유연함. 흐르는 물처럼 적응력 뛰어남. 직관력 강함. 변화무쌍.","학자, 철학자, 무역업, 해운업, 유통업. 흐름/지혜/변화 관련 분야.","흐르는 재물운. 유동성 높은 자산 유리. 무역/유통에서 성공.","물처럼 유연한 연애. 깊은 감정 교류. 눈물이 많은 관계.","신장/방광/귀 주의. 냉기에 약함. 따뜻하게 보온이 중요.","윤하격의 흐름을 막지 말라. 한 곳에 고이면 썩는다. 토(土)가 오면 막힘."
"GK_월인격","월인격","geokguk","특수격","월지에편인_일간강","월인격은 월지에 편인이 있고 일간이 강한 격국. 독특한 학문/기술에 재능. 전문가 운명.","독특하고 전문적. 일반적이지 않은 분야에 재능. 깊은 집중력. 고독한 천재.","한의사, 점술가, 프로그래머, 연구원, 종교인. 비범한 전문 분야.","전문 기술로 벌어들이는 재물. 일반적이지 않은 수입원.","독특한 연애. 정신적 교감 중시. 일반적 결혼 생활과 거리가 있을 수 있음.","정신건강 관리 필수. 신경쇠약/불면증 주의. 충분한 휴식과 명상.","편인의 직관을 세상에 쓸모 있게 만들어라. 고립되면 재능이 사장된다."
"GK_월겁격","월겁격","geokguk","특수격","월지에겁재_일간강","월겁격은 월지에 겁재가 있고 일간이 강한 격국. 경쟁심이 강하고 형제/동료와의 관계가 중요.","경쟁심 강하고 자존심 강함. 지기 싫어함. 투쟁적. 동료와 경쟁/협력 반복.","경쟁이 심한 분야. 스포츠, 영업, 주식 트레이딩. 승부사 기질.","경쟁을 통한 재물 획득. 승리하면 크게 벌고 지면 잃음. 변동성.","라이벌 같은 연애. 서로 경쟁하며 발전. 때로는 갈등으로 파탄.","근육/뼈/관절 주의. 무리한 경쟁으로 인한 부상. 스트레스성 질환.","경쟁심을 자기 발전에 쓰라. 남을 이기려 하기보다 어제의 나를 이겨라."
"GK_잡기재관격","잡기재관격","geokguk","잡격","월지장간에재관혼잡","잡기재관격은 월지의 장간에 재성과 관성이 혼잡하게 섞여 있는 격국. 재물과 명예 사이에서 갈등.","복잡하고 다재다능. 여러 재능이 있으나 집중이 어려움. 갈등과 선택의 연속.","여러 직업을 거침. 다양한 분야에 손댐. 한 우물을 파기 어려움.","재물은 있으나 안정되지 않음. 여러 수입원이 있으나 관리가 어려움.","복잡한 인간관계. 여러 이성 문제. 결혼 후에도 유혹이 많음.","신경계 질환 주의. 복잡한 생각으로 인한 두통/불면증.","하나를 선택하고 집중하라. 모든 것을 다 가지려 하면 아무것도 못 얻는다."
"GK_양신성상격","양신성상격","geokguk","귀격","두가지오행이균형잡힘","양신성상격은 두 가지 오행만으로 사주가 구성되어 균형을 이룬 귀격. 순수하고 집중력 있음.","순수하고 집중력 강함. 한 분야에 몰입. 복잡함을 싫어함. 단순명쾌.","전문 분야에서 성공. 한 우물을 깊이 파는 직업. 장인/전문가.","집중한 분야에서 안정적 재물. 부업보다 본업에서 성공.","단순하고 진실된 연애. 한 사람에게 집중. 바람기 적음.","두 오행 외의 기운이 약할 수 있음. 균형 있는 건강 관리.","양신의 순수함을 유지하되 다른 오행이 올 때의 대처도 준비하라."
"GK_가종격","가종격","geokguk","변격","진짜종격이아닌가짜종격","가종격은 겉보기에 종격처럼 보이나 미약한 근이 있어 진짜 종격이 아닌 변격. 불안정한 운명.","겉과 속이 다름. 강해 보이나 속은 약함. 겸손해 보이나 속은 강함. 복잡.","환경에 따라 크게 달라지는 직업 운. 시기에 따른 부침이 심함.","재물운이 불안정. 크게 들어오다가도 한순간에 빠짐. 안전자산 필요.","관계도 불안정. 믿었던 사람에게 배신당하거나 예상치 못한 행운도.","면역력 불안정. 건강해 보이다가 갑자기 아픔. 정기 검진 필수.","가종격은 자신의 약점을 인정하는 것이 첫걸음. 근을 강화하면 정격이 될 수 있다."
"GK_귀신합화격","귀신합화격","geokguk","화격","천간합화가성립","귀신합화격은 천간이 합하여 다른 오행으로 화(化)하는 특수 격국. 변신과 전환의 운명.","변화무쌍하고 적응력 뛰어남. 다른 사람이 되는 능력. 카멜레온 같은 변신.","배우, 외교관, 협상가, 변호사. 역할을 바꾸는 직업에서 성공.","변화를 통한 재물 획득. 전업/전직을 통해 성공. 한 곳에 머물면 실패.","변화하는 연애. 여러 타입의 이성 경험. 배우자도 변화를 좋아하는 타입.","변화로 인한 스트레스. 적응 피로. 충분한 휴식으로 재충전.","화격의 변신 능력을 인정하되 본질을 잃지 말라. 변하면서도 변하지 않는 것."
"GK_외격","외격","geokguk","외격","정격에서벗어난모든격국","외격은 8정격이나 종격 등 정형화된 격국에 속하지 않는 모든 비정형 격국의 총칭.","비정형적이고 독특함. 일반적 틀에 맞지 않음. 특이한 운명. 예측 불가.","비정형적 직업. 새로운 분야 개척. 남들이 안 하는 것에서 성공.","재물운도 비정형. 예상치 못한 곳에서 들어오고 나감. 플랜B 필수.","독특한 연애. 정형화된 결혼 생활과 거리. 특별한 인연.","비정형이므로 건강도 예측 어려움. 정기 검진으로 조기 발견이 중요.","외격은 정형을 따르지 않아도 된다는 것. 자신만의 길을 찾아라."
"GK_진가도식격","진가도식격","geokguk","흉격","편인이식신을극함","진가도식격은 편인(효신)이 식신을 극하는(빼앗는) 흉격. 복록이 손상되고 의식주에 어려움.","불안정하고 의심이 많음. 복이 있어도 빼앗김. 식복이 없음. 의식주 불안.","안정된 직업 유지 어려움. 실직/해고 경험. 음식 관련 사업 실패.","재물이 들어와도 유지 안 됨. 식구(가족)에게 빼앗김. 투자 실패.","자녀와 갈등. 자녀가 부모 재산을 탕진하는 상. 불효 자녀 주의.","소화기 질환 심각. 영양실조/거식증/폭식증 주의. 식습관 관리 필수.","도식의 흉함을 피하려면 재성이 필요. 재성이 편인을 제어하면 해소."

